
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.55700
2   1 0.004983 1.41900
3   1 0.009484 1.29300
4   2 0.015370 1.17800
5   2 0.022520 1.07300
6   2 0.028900 0.97790
7   2 0.034580 0.89100
8   2 0.039590 0.81180
9   2 0.044010 0.73970
10  3 0.049280 0.67400
11  3 0.053960 0.61410
12  5 0.058680 0.55960
13  7 0.063560 0.50990
14 12 0.068270 0.46460
15 14 0.072910 0.42330
16 17 0.077170 0.38570
17 17 0.080860 0.35140
18 19 0.084210 0.32020
19 18 0.087080 0.29180
20 19 0.089540 0.26580
21 24 0.091810 0.24220
22 29 0.093950 0.22070
23 28 0.095950 0.20110
24 30 0.097630 0.18320
25 30 0.099060 0.16700
26 30 0.100300 0.15210
27 31 0.101300 0.13860
28 32 0.102300 0.12630
29 32 0.103200 0.11510
30 33 0.104100 0.10490
31 34 0.104800 0.09554
32 36 0.105700 0.08705
33 36 0.106400 0.07932
34 37 0.107200 0.07227
35 38 0.107700 0.06585
36 39 0.108300 0.06000
37 39 0.108700 0.05467
38 40 0.109200 0.04981
39 41 0.109600 0.04539
40 40 0.110000 0.04136
41 42 0.110400 0.03768
42 44 0.110700 0.03433
43 45 0.111100 0.03128
44 45 0.111300 0.02851
45 47 0.111600 0.02597
46 48 0.111900 0.02367
47 46 0.112200 0.02156
48 47 0.112400 0.01965
49 50 0.112500 0.01790
50 53 0.112700 0.01631
51 53 0.112900 0.01486
52 54 0.113000 0.01354
53 55 0.113100 0.01234
54 55 0.113200 0.01124
55 55 0.113300 0.01024
56 58 0.113400 0.00933
57 59 0.113500 0.00850
58 60 0.113500 0.00775
59 62 0.113600 0.00706
60 62 0.113600 0.00643
61 62 0.113700 0.00586
62 64 0.113700 0.00534
63 63 0.113700 0.00487
64 66 0.113700 0.00443
65 67 0.113800 0.00404
66 69 0.113800 0.00368
67 69 0.113800 0.00336
68 70 0.113800 0.00306
69 72 0.113800 0.00278
70 74 0.113900 0.00254
71 76 0.113900 0.00231
72 78 0.113900 0.00211
73 79 0.113900 0.00192
74 80 0.113900 0.00175
75 80 0.113900 0.00159
76 80 0.113900 0.00145
77 82 0.113900 0.00132
78 84 0.113900 0.00121
79 84 0.113900 0.00110
80 84 0.113900 0.00100
81 84 0.113900 0.00091
82 84 0.113900 0.00083
83 84 0.113900 0.00076
84 84 0.113900 0.00069
85 86 0.113900 0.00063
86 88 0.113900 0.00057
87 88 0.113900 0.00052
