
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 6.0400
2    1 0.000575 5.5030
3    1 0.001053 5.0140
4    1 0.001450 4.5690
5    1 0.001779 4.1630
6    1 0.002053 3.7930
7    1 0.002280 3.4560
8    1 0.002468 3.1490
9    1 0.002625 2.8690
10   2 0.002812 2.6140
11   2 0.003265 2.3820
12   2 0.003643 2.1700
13   2 0.003958 1.9780
14   3 0.004346 1.8020
15   3 0.004793 1.6420
16   3 0.005175 1.4960
17   3 0.005492 1.3630
18   3 0.005767 1.2420
19   5 0.006588 1.1320
20   7 0.008093 1.0310
21   9 0.009636 0.9396
22  10 0.011070 0.8561
23  10 0.012310 0.7800
24  10 0.013340 0.7107
25  10 0.014190 0.6476
26  10 0.014900 0.5901
27  10 0.015490 0.5376
28  10 0.015980 0.4899
29  12 0.016670 0.4464
30  13 0.017700 0.4067
31  14 0.018740 0.3706
32  16 0.019840 0.3377
33  18 0.020970 0.3077
34  18 0.021930 0.2803
35  18 0.022710 0.2554
36  21 0.029600 0.2327
37  23 0.036310 0.2121
38  23 0.042500 0.1932
39  26 0.047890 0.1761
40  27 0.057090 0.1604
41  29 0.064880 0.1462
42  31 0.071640 0.1332
43  33 0.077450 0.1213
44  34 0.082360 0.1106
45  38 0.086670 0.1007
46  39 0.090610 0.0918
47  38 0.094120 0.0836
48  39 0.096930 0.0762
49  40 0.099300 0.0694
50  41 0.101400 0.0633
51  42 0.103300 0.0576
52  43 0.104800 0.0525
53  44 0.106100 0.0479
54  44 0.107300 0.0436
55  45 0.108200 0.0397
56  45 0.108900 0.0362
57  45 0.109700 0.0330
58  46 0.110200 0.0301
59  46 0.110700 0.0274
60  49 0.111100 0.0250
61  50 0.111500 0.0227
62  51 0.111700 0.0207
63  54 0.112000 0.0189
64  57 0.112200 0.0172
65  57 0.112500 0.0157
66  57 0.112700 0.0143
67  55 0.112800 0.0130
68  57 0.113000 0.0119
69  59 0.113100 0.0108
70  59 0.113200 0.0098
71  61 0.113300 0.0090
72  61 0.113400 0.0082
73  64 0.113500 0.0074
74  67 0.113500 0.0068
75  69 0.113600 0.0062
76  71 0.113600 0.0056
77  75 0.113600 0.0051
78  76 0.113700 0.0047
79  78 0.113700 0.0043
80  80 0.113700 0.0039
81  81 0.113800 0.0035
82  79 0.113800 0.0032
83  79 0.113800 0.0029
84  79 0.113800 0.0027
85  83 0.113800 0.0024
86  84 0.113800 0.0022
87  85 0.113800 0.0020
88  87 0.113900 0.0018
89  87 0.113900 0.0017
90  89 0.113900 0.0015
91  87 0.113900 0.0014
92  90 0.113900 0.0013
93  90 0.113900 0.0012
94  91 0.113900 0.0011
95  92 0.113900 0.0010
96  95 0.113900 0.0009
97  96 0.113900 0.0008
98  97 0.113900 0.0007
99  96 0.113900 0.0007
100 96 0.113900 0.0006
