
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = TRUE) 

   Df     %Dev Lambda
1   0 0.000000 59.160
2   8 0.001540 53.900
3  12 0.004860 49.110
4  15 0.009095 44.750
5  21 0.013740 40.770
6  27 0.019170 37.150
7  28 0.024620 33.850
8  32 0.029860 30.840
9  37 0.035190 28.100
10 39 0.040340 25.610
11 40 0.045000 23.330
12 40 0.049320 21.260
13 41 0.053290 19.370
14 41 0.056890 17.650
15 41 0.060180 16.080
16 43 0.063190 14.650
17 44 0.066000 13.350
18 45 0.068560 12.170
19 47 0.070890 11.080
20 47 0.073000 10.100
21 47 0.074930  9.203
22 47 0.076690  8.385
23 48 0.078280  7.640
24 49 0.079770  6.962
25 49 0.081100  6.343
26 49 0.082350  5.780
27 50 0.083580  5.266
28 50 0.084700  4.798
29 50 0.085740  4.372
30 49 0.086700  3.984
31 49 0.087580  3.630
32 47 0.088410  3.307
33 47 0.089170  3.014
34 47 0.089880  2.746
35 46 0.090540  2.502
36 45 0.091130  2.280
37 46 0.091660  2.077
38 48 0.092180  1.893
39 49 0.092670  1.724
40 49 0.093130  1.571
41 50 0.093570  1.432
42 52 0.093990  1.304
43 52 0.094370  1.189
44 51 0.094730  1.083
45 51 0.095060  0.987
46 51 0.095360  0.899
47 50 0.095640  0.819
48 50 0.095880  0.746
49 50 0.096110  0.680
50 51 0.096310  0.620
51 51 0.096510  0.565
52 51 0.096680  0.514
53 52 0.096840  0.469
54 51 0.096990  0.427
55 53 0.097110  0.389
56 53 0.097230  0.355
57 53 0.097340  0.323
58 54 0.097430  0.294
59 54 0.097510  0.268
60 53 0.097580  0.244
61 54 0.097640  0.223
62 53 0.097700  0.203
63 54 0.097740  0.185
64 54 0.097790  0.168
65 54 0.097820  0.154
66 54 0.097860  0.140
67 55 0.097880  0.127
68 55 0.097910  0.116
69 55 0.097930  0.106
70 55 0.097950  0.096
71 55 0.097960  0.088
72 55 0.097980  0.080
73 55 0.097990  0.073
74 55 0.098000  0.066
75 55 0.098010  0.061
76 55 0.098010  0.055
77 55 0.098020  0.050
78 55 0.098030  0.046
79 55 0.098030  0.042
80 55 0.098030  0.038
81 55 0.098040  0.035
82 55 0.098040  0.032
83 55 0.098040  0.029
84 55 0.098050  0.026
85 55 0.098050  0.024
86 55 0.098050  0.022
87 55 0.098050  0.020
88 55 0.098050  0.018
89 55 0.098050  0.016
