
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 35.370
2    1 0.01074 32.230
3    1 0.01966 29.370
4    1 0.02707 26.760
5    1 0.03322 24.380
6    1 0.03832 22.220
7    1 0.04256 20.240
8    1 0.04608 18.440
9    1 0.04900 16.800
10   1 0.05143 15.310
11   1 0.05344 13.950
12   1 0.05512 12.710
13   1 0.05651 11.580
14   1 0.05766 10.550
15   1 0.05862  9.616
16   1 0.05941  8.762
17   1 0.06007  7.984
18   1 0.06062  7.274
19   1 0.06107  6.628
20   1 0.06145  6.039
21   1 0.06176  5.503
22   1 0.06203  5.014
23   1 0.06224  4.569
24   2 0.06246  4.163
25   2 0.06290  3.793
26   3 0.06326  3.456
27   3 0.06497  3.149
28   3 0.06634  2.869
29   3 0.06747  2.614
30   3 0.06840  2.382
31   3 0.06918  2.170
32   2 0.06961  1.978
33   2 0.06985  1.802
34   4 0.07042  1.642
35   5 0.07295  1.496
36   5 0.07573  1.363
37   5 0.07806  1.242
38   5 0.07998  1.132
39   5 0.08158  1.031
40   5 0.08291  0.940
41   5 0.08402  0.856
42   5 0.08493  0.780
43   6 0.08584  0.711
44   6 0.08661  0.648
45   6 0.08724  0.590
46   6 0.08776  0.538
47   8 0.08820  0.490
48   7 0.08856  0.446
49   9 0.08890  0.407
50   9 0.08974  0.371
51   9 0.09042  0.338
52  10 0.09098  0.308
53  10 0.09152  0.280
54  10 0.09198  0.255
55  10 0.09236  0.233
56  10 0.09266  0.212
57  10 0.09292  0.193
58  11 0.09313  0.176
59  12 0.09335  0.160
60  13 0.09356  0.146
61  13 0.09375  0.133
62  15 0.09425  0.121
63  15 0.09477  0.111
64  15 0.09522  0.101
65  15 0.09558  0.092
66  14 0.09591  0.084
67  14 0.09617  0.076
68  16 0.09635  0.069
69  16 0.09656  0.063
70  16 0.09673  0.058
71  16 0.09688  0.053
72  16 0.09702  0.048
73  17 0.09714  0.044
74  17 0.09725  0.040
75  17 0.09734  0.036
76  18 0.09742  0.033
77  18 0.09750  0.030
78  20 0.09757  0.027
79  20 0.09765  0.025
80  20 0.09771  0.023
81  20 0.09775  0.021
82  22 0.09778  0.019
83  21 0.09783  0.017
84  21 0.09786  0.016
85  21 0.09789  0.014
86  21 0.09791  0.013
87  21 0.09793  0.012
88  22 0.09794  0.011
89  22 0.09796  0.010
90  22 0.09797  0.009
91  22 0.09798  0.008
92  22 0.09799  0.007
93  22 0.09799  0.007
94  23 0.09800  0.006
95  24 0.09801  0.006
96  23 0.09801  0.005
97  24 0.09801  0.005
98  24 0.09802  0.004
99  25 0.09802  0.004
100 27 0.09802  0.004
