
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = FALSE) 

   Df     %Dev  Lambda
1   0 0.000000 10.5300
2   2 0.006209  9.5900
3   2 0.011480  8.7380
4   2 0.015900  7.9620
5   2 0.019590  7.2550
6   2 0.022680  6.6100
7   2 0.025260  6.0230
8   2 0.027420  5.4880
9   2 0.029220  5.0000
10  3 0.031760  4.5560
11  3 0.034110  4.1510
12  4 0.036300  3.7830
13  4 0.038310  3.4470
14  4 0.039980  3.1400
15  5 0.041390  2.8610
16  5 0.042540  2.6070
17  6 0.043590  2.3760
18  7 0.044610  2.1650
19  7 0.045570  1.9720
20  7 0.046370  1.7970
21  9 0.047170  1.6370
22  9 0.048190  1.4920
23 10 0.049080  1.3590
24 11 0.050070  1.2390
25 12 0.051110  1.1290
26 14 0.052720  1.0280
27 14 0.054190  0.9370
28 14 0.055410  0.8538
29 14 0.056430  0.7779
30 14 0.057270  0.7088
31 14 0.057980  0.6458
32 14 0.058560  0.5885
33 17 0.059090  0.5362
34 17 0.059730  0.4885
35 17 0.060340  0.4451
36 17 0.060840  0.4056
37 17 0.061250  0.3696
38 18 0.061660  0.3367
39 18 0.062330  0.3068
40 18 0.062800  0.2796
41 16 0.063140  0.2547
42 16 0.063370  0.2321
43 17 0.063560  0.2115
44 19 0.063750  0.1927
45 21 0.063940  0.1756
46 22 0.064170  0.1600
47 22 0.064380  0.1458
48 24 0.064550  0.1328
49 24 0.064720  0.1210
50 25 0.064860  0.1103
51 25 0.064970  0.1005
52 24 0.065060  0.0916
53 27 0.065140  0.0834
54 27 0.065220  0.0760
55 28 0.065280  0.0693
56 28 0.065350  0.0631
57 28 0.065400  0.0575
58 28 0.065440  0.0524
59 28 0.065480  0.0477
60 28 0.065510  0.0435
61 28 0.065540  0.0396
62 29 0.065560  0.0361
63 31 0.065580  0.0329
64 30 0.065590  0.0300
65 31 0.065600  0.0273
66 30 0.065620  0.0249
67 31 0.065630  0.0227
68 32 0.065630  0.0207
69 32 0.065640  0.0188
70 32 0.065650  0.0172
71 32 0.065650  0.0156
72 32 0.065660  0.0142
73 34 0.065660  0.0130
74 34 0.065660  0.0118
75 34 0.065670  0.0108
76 35 0.065670  0.0098
77 35 0.065670  0.0089
78 35 0.065670  0.0081
79 35 0.065670  0.0074
80 36 0.065680  0.0068
81 38 0.065680  0.0062
82 38 0.065680  0.0056
83 38 0.065680  0.0051
84 38 0.065680  0.0047
85 38 0.065680  0.0042
