
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

   Df    %Dev Lambda
1   0 0.00000 6.1400
2   2 0.00634 5.5940
3   2 0.01169 5.0970
4   2 0.01615 4.6450
5   2 0.01986 4.2320
6   2 0.02295 3.8560
7   2 0.02551 3.5130
8   2 0.02765 3.2010
9   2 0.02943 2.9170
10  3 0.03194 2.6580
11  3 0.03428 2.4220
12  4 0.03642 2.2070
13  4 0.03842 2.0110
14  4 0.04008 1.8320
15  4 0.04146 1.6690
16  4 0.04261 1.5210
17  6 0.04365 1.3860
18  7 0.04466 1.2630
19  7 0.04562 1.1500
20  7 0.04641 1.0480
21  9 0.04720 0.9552
22  9 0.04822 0.8703
23 10 0.04911 0.7930
24 11 0.05012 0.7225
25 11 0.05115 0.6584
26 14 0.05278 0.5999
27 14 0.05425 0.5466
28 14 0.05547 0.4980
29 14 0.05648 0.4538
30 14 0.05732 0.4135
31 14 0.05802 0.3767
32 14 0.05860 0.3433
33 17 0.05913 0.3128
34 18 0.05976 0.2850
35 17 0.06038 0.2597
36 17 0.06087 0.2366
37 17 0.06129 0.2156
38 18 0.06170 0.1964
39 17 0.06238 0.1790
40 18 0.06286 0.1631
41 16 0.06317 0.1486
42 16 0.06340 0.1354
43 18 0.06359 0.1234
44 18 0.06378 0.1124
45 21 0.06396 0.1024
46 22 0.06418 0.0933
47 23 0.06439 0.0850
48 24 0.06455 0.0775
49 25 0.06473 0.0706
50 25 0.06487 0.0643
51 25 0.06498 0.0586
52 25 0.06507 0.0534
53 27 0.06515 0.0487
54 27 0.06522 0.0443
55 28 0.06529 0.0404
56 28 0.06535 0.0368
57 28 0.06540 0.0335
58 28 0.06545 0.0306
59 28 0.06548 0.0278
60 28 0.06551 0.0254
61 28 0.06554 0.0231
62 29 0.06556 0.0211
63 28 0.06558 0.0192
64 30 0.06559 0.0175
65 30 0.06560 0.0159
66 29 0.06562 0.0145
67 30 0.06563 0.0132
68 32 0.06563 0.0120
69 32 0.06564 0.0110
70 32 0.06565 0.0100
71 33 0.06565 0.0091
72 34 0.06565 0.0083
73 34 0.06566 0.0076
74 34 0.06566 0.0069
75 35 0.06567 0.0063
76 35 0.06567 0.0057
77 35 0.06567 0.0052
78 36 0.06567 0.0048
79 36 0.06567 0.0043
80 38 0.06568 0.0039
81 39 0.06568 0.0036
82 39 0.06568 0.0033
83 39 0.06568 0.0030
84 40 0.06568 0.0027
85 40 0.06568 0.0025
