
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.66990
2   1 0.005761 0.61040
3   1 0.010690 0.55620
4   1 0.014890 0.50680
5   2 0.019590 0.46180
6   3 0.024050 0.42070
7   4 0.028040 0.38340
8   7 0.032240 0.34930
9   7 0.036100 0.31830
10  8 0.039350 0.29000
11  8 0.042100 0.26420
12  9 0.044420 0.24080
13  8 0.046500 0.21940
14  9 0.048250 0.19990
15 10 0.049720 0.18210
16  9 0.051030 0.16590
17 10 0.052440 0.15120
18 11 0.053690 0.13780
19 11 0.054810 0.12550
20 11 0.055730 0.11440
21 11 0.056510 0.10420
22 12 0.057290 0.09496
23 12 0.057990 0.08652
24 12 0.058570 0.07884
25 12 0.059050 0.07183
26 14 0.059470 0.06545
27 14 0.060030 0.05964
28 14 0.060520 0.05434
29 16 0.060940 0.04951
30 15 0.061270 0.04511
31 17 0.061550 0.04111
32 17 0.061850 0.03745
33 17 0.062120 0.03413
34 18 0.062360 0.03110
35 20 0.062630 0.02833
36 22 0.062960 0.02582
37 21 0.063270 0.02352
38 21 0.063580 0.02143
39 21 0.063890 0.01953
40 22 0.064160 0.01779
41 24 0.064350 0.01621
42 24 0.064550 0.01477
43 24 0.064720 0.01346
44 24 0.064880 0.01226
45 24 0.065000 0.01117
46 24 0.065110 0.01018
47 25 0.065190 0.00928
48 26 0.065270 0.00845
49 26 0.065340 0.00770
50 26 0.065390 0.00702
51 25 0.065440 0.00640
52 26 0.065470 0.00583
53 27 0.065510 0.00531
54 27 0.065530 0.00484
55 29 0.065560 0.00441
56 30 0.065570 0.00402
57 30 0.065590 0.00366
58 32 0.065610 0.00333
59 32 0.065620 0.00304
60 33 0.065630 0.00277
61 32 0.065640 0.00252
62 33 0.065640 0.00230
63 34 0.065650 0.00209
64 34 0.065650 0.00191
65 35 0.065660 0.00174
66 35 0.065660 0.00158
67 35 0.065670 0.00144
68 35 0.065670 0.00132
69 35 0.065670 0.00120
70 35 0.065670 0.00109
71 35 0.065670 0.00099
72 35 0.065680 0.00091
73 35 0.065680 0.00083
74 35 0.065680 0.00075
75 36 0.065680 0.00069
76 36 0.065680 0.00062
77 36 0.065680 0.00057
