
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 1.38500
2   1 0.01193 1.26200
3   3 0.02390 1.15000
4   4 0.03509 1.04800
5   4 0.04506 0.95460
6   5 0.05380 0.86980
7   5 0.06125 0.79250
8   6 0.06782 0.72210
9   6 0.07327 0.65800
10  7 0.07798 0.59950
11  7 0.08207 0.54630
12  7 0.08550 0.49770
13  7 0.08838 0.45350
14  7 0.09080 0.41320
15  6 0.09281 0.37650
16  6 0.09448 0.34310
17  6 0.09587 0.31260
18  6 0.09703 0.28480
19  6 0.09800 0.25950
20  6 0.09881 0.23650
21  6 0.09948 0.21550
22  6 0.10000 0.19630
23  6 0.10050 0.17890
24  6 0.10090 0.16300
25  7 0.10120 0.14850
26  8 0.10160 0.13530
27  8 0.10190 0.12330
28  8 0.10210 0.11230
29  8 0.10230 0.10240
30  8 0.10250 0.09327
31  8 0.10260 0.08498
32  8 0.10280 0.07743
33  8 0.10290 0.07055
34  8 0.10300 0.06429
35  9 0.10310 0.05857
36  9 0.10320 0.05337
37 10 0.10330 0.04863
38 10 0.10350 0.04431
39 10 0.10360 0.04037
40 10 0.10370 0.03679
41 10 0.10380 0.03352
42 10 0.10380 0.03054
43 11 0.10390 0.02783
44 11 0.10400 0.02536
45 11 0.10400 0.02310
46 10 0.10410 0.02105
47 11 0.10410 0.01918
48 11 0.10410 0.01748
49 12 0.10410 0.01592
50 12 0.10420 0.01451
51 12 0.10420 0.01322
52 13 0.10420 0.01205
53 12 0.10420 0.01098
54 12 0.10420 0.01000
55 13 0.10430 0.00911
56 13 0.10430 0.00830
57 13 0.10430 0.00756
58 15 0.10430 0.00689
59 15 0.10430 0.00628
60 15 0.10430 0.00572
61 15 0.10430 0.00521
62 15 0.10430 0.00475
63 15 0.10430 0.00433
64 15 0.10430 0.00394
65 16 0.10430 0.00359
66 17 0.10430 0.00328
67 17 0.10440 0.00298
68 17 0.10440 0.00272
69 17 0.10440 0.00248
70 17 0.10440 0.00226
71 17 0.10440 0.00206
72 17 0.10440 0.00187
73 17 0.10440 0.00171
74 17 0.10440 0.00156
75 17 0.10440 0.00142
