
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 14.5300
2   1 0.001815 13.2400
3   1 0.003726 12.0600
4   1 0.005732 10.9900
5   2 0.009148 10.0100
6   2 0.012750  9.1250
7   2 0.016500  8.3140
8   4 0.021430  7.5760
9   6 0.027480  6.9030
10 12 0.034960  6.2890
11 16 0.042810  5.7310
12 20 0.050820  5.2220
13 25 0.058600  4.7580
14 35 0.066200  4.3350
15 36 0.073670  3.9500
16 38 0.080710  3.5990
17 39 0.087390  3.2790
18 40 0.093730  2.9880
19 40 0.099690  2.7230
20 42 0.105300  2.4810
21 43 0.110600  2.2600
22 42 0.115600  2.0600
23 42 0.120300  1.8770
24 40 0.124600  1.7100
25 41 0.128600  1.5580
26 41 0.132300  1.4200
27 40 0.135700  1.2930
28 42 0.138900  1.1790
29 42 0.141800  1.0740
30 42 0.144600  0.9784
31 40 0.147200  0.8915
32 40 0.149500  0.8123
33 40 0.151700  0.7401
34 42 0.153700  0.6744
35 43 0.155600  0.6145
36 44 0.157300  0.5599
37 47 0.158900  0.5102
38 47 0.160400  0.4648
39 47 0.161700  0.4235
40 47 0.162800  0.3859
41 47 0.163900  0.3516
42 46 0.164800  0.3204
43 51 0.165700  0.2919
44 52 0.166500  0.2660
45 55 0.167200  0.2424
46 53 0.167900  0.2208
47 53 0.168500  0.2012
48 53 0.169000  0.1833
49 54 0.169500  0.1671
50 55 0.169900  0.1522
51 55 0.170200  0.1387
52 58 0.170600  0.1264
53 64 0.170800  0.1151
54 63 0.171100  0.1049
55 66 0.171300  0.0956
56 66 0.171500  0.0871
57 68 0.171700  0.0794
58 69 0.171900  0.0723
59 70 0.172000  0.0659
60 70 0.172100  0.0600
61 70 0.172200  0.0547
62 70 0.172300  0.0498
63 71 0.172400  0.0454
64 71 0.172400  0.0414
65 73 0.172500  0.0377
66 73 0.172500  0.0344
67 74 0.172600  0.0313
68 74 0.172600  0.0285
69 74 0.172600  0.0260
70 75 0.172700  0.0237
71 75 0.172700  0.0216
72 76 0.172700  0.0197
73 78 0.172700  0.0179
74 77 0.172700  0.0163
75 78 0.172700  0.0149
76 81 0.172700  0.0136
77 82 0.172700  0.0124
78 84 0.172800  0.0112
79 85 0.172800  0.0102
80 84 0.172800  0.0093
81 84 0.172800  0.0085
82 84 0.172800  0.0078
83 85 0.172800  0.0071
84 86 0.172800  0.0064
85 86 0.172800  0.0059
86 86 0.172800  0.0053
87 86 0.172800  0.0049
