
Call:  glmnet(x = x, y = y, alpha = 0.25, family = "gaussian", standardize = FALSE) 

   Df     %Dev  Lambda
1   0 0.000000 14.3400
2   1 0.002410 13.0700
3   2 0.004963 11.9100
4   2 0.007416 10.8500
5   3 0.009855  9.8850
6   3 0.012860  9.0070
7   4 0.015520  8.2070
8   4 0.017740  7.4770
9   4 0.019580  6.8130
10  4 0.021120  6.2080
11  6 0.022610  5.6560
12  6 0.023910  5.1540
13  9 0.025130  4.6960
14  9 0.026450  4.2790
15  9 0.027540  3.8990
16  9 0.028760  3.5520
17  8 0.030330  3.2370
18  8 0.031650  2.9490
19  8 0.032750  2.6870
20  9 0.033850  2.4490
21  9 0.034760  2.2310
22 10 0.035540  2.0330
23 10 0.036190  1.8520
24 11 0.036690  1.6880
25 11 0.037300  1.5380
26 11 0.037790  1.4010
27 10 0.038150  1.2770
28 11 0.038440  1.1630
29 13 0.039720  1.0600
30 16 0.044750  0.9658
31 18 0.049750  0.8800
32 20 0.055070  0.8018
33 21 0.060680  0.7306
34 22 0.068560  0.6657
35 21 0.076780  0.6065
36 24 0.084550  0.5526
37 27 0.092260  0.5035
38 27 0.099910  0.4588
39 28 0.107000  0.4181
40 29 0.113700  0.3809
41 30 0.119900  0.3471
42 31 0.125700  0.3162
43 32 0.131100  0.2881
44 32 0.135900  0.2625
45 32 0.140300  0.2392
46 32 0.144300  0.2180
47 32 0.147900  0.1986
48 32 0.151100  0.1810
49 34 0.154000  0.1649
50 33 0.156500  0.1502
51 34 0.158700  0.1369
52 35 0.160600  0.1247
53 37 0.162300  0.1137
54 38 0.163800  0.1036
55 38 0.165100  0.0944
56 42 0.166200  0.0860
57 45 0.167200  0.0783
58 44 0.168000  0.0714
59 44 0.168700  0.0650
60 44 0.169300  0.0593
61 45 0.169900  0.0540
62 46 0.170300  0.0492
63 46 0.170700  0.0448
64 46 0.171000  0.0408
65 45 0.171300  0.0372
66 45 0.171500  0.0339
67 45 0.171700  0.0309
68 47 0.171900  0.0282
69 49 0.172100  0.0256
70 49 0.172200  0.0234
71 49 0.172300  0.0213
72 50 0.172400  0.0194
73 51 0.172400  0.0177
74 53 0.172500  0.0161
75 53 0.172500  0.0147
76 52 0.172600  0.0134
77 52 0.172600  0.0122
78 52 0.172600  0.0111
79 53 0.172700  0.0101
80 55 0.172700  0.0092
81 56 0.172700  0.0084
82 55 0.172700  0.0077
83 56 0.172700  0.0070
84 57 0.172700  0.0064
85 57 0.172800  0.0058
86 57 0.172800  0.0053
87 57 0.172800  0.0048
88 57 0.172800  0.0044
89 58 0.172800  0.0040
90 58 0.172800  0.0036
91 59 0.172800  0.0033
92 62 0.172800  0.0030
93 63 0.172800  0.0028
94 63 0.172800  0.0025
