
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1   68 0.00000 2769.00
2   68 0.01221 2523.00
3   68 0.01313 2299.00
4   68 0.01409 2095.00
5   68 0.01510 1909.00
6   68 0.01617 1739.00
7   68 0.01728 1585.00
8   68 0.01844 1444.00
9   68 0.01965 1316.00
10  68 0.02091 1199.00
11  68 0.02221 1092.00
12  68 0.02355  995.20
13  68 0.02492  906.80
14  68 0.02633  826.20
15  68 0.02777  752.80
16  68 0.02924  686.00
17  68 0.03072  625.00
18  68 0.03222  569.50
19  68 0.03372  518.90
20  68 0.03523  472.80
21  68 0.03674  430.80
22  68 0.03824  392.50
23  68 0.03973  357.70
24  68 0.04119  325.90
25  68 0.04264  296.90
26  68 0.04406  270.60
27  68 0.04544  246.50
28  68 0.04680  224.60
29  68 0.04811  204.70
30  68 0.04939  186.50
31  68 0.05063  169.90
32  68 0.05182  154.80
33  68 0.05297  141.10
34  68 0.05408  128.50
35  68 0.05514  117.10
36  68 0.05616  106.70
37  68 0.05713   97.23
38  68 0.05806   88.60
39  68 0.05895   80.72
40  68 0.05979   73.55
41  68 0.06059   67.02
42  68 0.06135   61.07
43  68 0.06207   55.64
44  68 0.06275   50.70
45  68 0.06340   46.19
46  68 0.06401   42.09
47  68 0.06459   38.35
48  68 0.06513   34.94
49  68 0.06566   31.84
50  68 0.06615   29.01
51  68 0.06663   26.43
52  68 0.06708   24.09
53  68 0.06752   21.95
54  68 0.06795   20.00
55  68 0.06836   18.22
56  68 0.06878   16.60
57  68 0.06919   15.13
58  68 0.06960   13.78
59  68 0.07001   12.56
60  68 0.07044   11.44
61  68 0.07087   10.43
62  68 0.07133    9.50
63  68 0.07180    8.66
64  68 0.07229    7.89
65  68 0.07280    7.19
66  68 0.07335    6.55
67  68 0.07393    5.97
68  68 0.07454    5.44
69  68 0.07519    4.95
70  68 0.07589    4.51
71  68 0.07663    4.11
72  68 0.07742    3.75
73  68 0.07826    3.41
74  68 0.07916    3.11
75  68 0.08011    2.83
76  68 0.08112    2.58
77  68 0.08220    2.35
78  68 0.08333    2.14
79  68 0.08453    1.95
80  68 0.08579    1.78
81  68 0.08712    1.62
82  68 0.08850    1.48
83  68 0.08994    1.35
84  68 0.09144    1.23
85  68 0.09299    1.12
86  68 0.09458    1.02
87  68 0.09622    0.93
88  68 0.09788    0.85
89  68 0.09957    0.77
90  68 0.10130    0.70
91  68 0.10300    0.64
92  68 0.10470    0.58
93  68 0.10640    0.53
94  68 0.10810    0.48
95  68 0.10970    0.44
96  68 0.11130    0.40
97  68 0.11280    0.37
98  68 0.11430    0.33
99  68 0.11570    0.30
100 68 0.11710    0.28
