
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = TRUE) 

   Df     %Dev Lambda
1   0 0.000000 3.3200
2   1 0.004680 3.0250
3   1 0.009224 2.7560
4   1 0.013610 2.5110
5   3 0.022420 2.2880
6   6 0.032260 2.0850
7   8 0.042660 1.9000
8   8 0.052170 1.7310
9   9 0.060840 1.5770
10 10 0.068600 1.4370
11 11 0.075790 1.3090
12 11 0.082160 1.1930
13 12 0.087870 1.0870
14 13 0.092880 0.9905
15 13 0.097400 0.9025
16 13 0.101400 0.8223
17 15 0.104900 0.7493
18 15 0.108000 0.6827
19 15 0.110700 0.6221
20 16 0.113100 0.5668
21 16 0.115200 0.5165
22 16 0.117000 0.4706
23 16 0.118500 0.4288
24 15 0.119900 0.3907
25 14 0.121100 0.3560
26 14 0.122000 0.3243
27 14 0.122800 0.2955
28 15 0.123600 0.2693
29 15 0.124300 0.2454
30 15 0.124900 0.2236
31 15 0.125400 0.2037
32 16 0.125900 0.1856
33 17 0.126300 0.1691
34 17 0.126800 0.1541
35 18 0.127100 0.1404
36 18 0.127400 0.1279
37 17 0.127700 0.1166
38 19 0.128000 0.1062
39 19 0.128200 0.0968
40 19 0.128500 0.0882
41 20 0.128700 0.0803
42 20 0.128900 0.0732
43 20 0.129100 0.0667
44 20 0.129200 0.0608
45 20 0.129300 0.0554
46 20 0.129400 0.0505
47 20 0.129500 0.0460
48 20 0.129600 0.0419
49 20 0.129600 0.0382
50 20 0.129700 0.0348
51 20 0.129700 0.0317
52 21 0.129800 0.0289
53 21 0.129800 0.0263
54 20 0.129900 0.0240
55 21 0.129900 0.0218
56 22 0.129900 0.0199
57 22 0.129900 0.0181
58 25 0.129900 0.0165
59 26 0.130000 0.0150
60 27 0.130000 0.0137
61 27 0.130000 0.0125
62 27 0.130000 0.0114
63 27 0.130000 0.0104
64 29 0.130000 0.0095
65 29 0.130000 0.0086
66 29 0.130000 0.0078
67 29 0.130000 0.0072
68 29 0.130000 0.0065
69 29 0.130000 0.0059
70 29 0.130000 0.0054
71 29 0.130000 0.0049
72 29 0.130000 0.0045
73 29 0.130000 0.0041
74 29 0.130000 0.0037
