
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 203.800
2     1 0.001918 185.700
3     1 0.003540 169.200
4     1 0.004908 154.100
5     1 0.006061 140.500
6     1 0.007031 128.000
7     1 0.007847 116.600
8     1 0.008532 106.200
9     1 0.009107  96.810
10    2 0.009646  88.210
11    2 0.010910  80.370
12    2 0.011990  73.230
13    3 0.012950  66.730
14    3 0.013980  60.800
15    4 0.015290  55.400
16    4 0.017410  50.480
17    4 0.019240  45.990
18    4 0.020820  41.910
19    4 0.022170  38.180
20    6 0.023520  34.790
21    8 0.025780  31.700
22    9 0.028780  28.880
23   10 0.031570  26.320
24   12 0.034160  23.980
25   12 0.037040  21.850
26   13 0.039520  19.910
27   15 0.041860  18.140
28   16 0.044380  16.530
29   15 0.046640  15.060
30   15 0.048470  13.720
31   15 0.050050  12.500
32   16 0.051560  11.390
33   16 0.052870  10.380
34   16 0.053980   9.458
35   16 0.054950   8.618
36   15 0.055590   7.852
37   16 0.056160   7.155
38   18 0.056770   6.519
39   18 0.057580   5.940
40   20 0.058810   5.412
41   20 0.060190   4.932
42   21 0.061340   4.493
43   22 0.062740   4.094
44   24 0.064310   3.731
45   27 0.066020   3.399
46   29 0.068150   3.097
47   29 0.070280   2.822
48   30 0.072870   2.571
49   31 0.075440   2.343
50   33 0.078110   2.135
51   33 0.080760   1.945
52   35 0.083520   1.772
53   37 0.086500   1.615
54   39 0.089570   1.471
55   40 0.092670   1.341
56   42 0.095730   1.222
57   43 0.098790   1.113
58   42 0.101900   1.014
59   42 0.104800   0.924
60   44 0.107800   0.842
61   44 0.110700   0.767
62   47 0.113600   0.699
63   47 0.116600   0.637
64   48 0.119400   0.580
65   50 0.122100   0.529
66   52 0.124700   0.482
67   51 0.127300   0.439
68   52 0.129700   0.400
69   52 0.132000   0.364
70   51 0.134200   0.332
71   53 0.136300   0.303
72   54 0.138200   0.276
73   56 0.140100   0.251
74   58 0.141800   0.229
75   59 0.143500   0.209
76   61 0.145000   0.190
77   61 0.146400   0.173
78   63 0.147800   0.158
79   64 0.149100   0.144
80   65 0.150300   0.131
81   70 0.151500   0.119
82   74 0.152600   0.109
83   74 0.153700   0.099
84   81 0.154800   0.090
85   86 0.155900   0.082
86   86 0.156900   0.075
87   88 0.157900   0.068
88   88 0.158800   0.062
89   90 0.159700   0.057
90   93 0.160500   0.052
91   95 0.161400   0.047
92   97 0.162100   0.043
93  100 0.162800   0.039
94  104 0.163500   0.036
95  104 0.164200   0.032
96  106 0.164900   0.030
97  107 0.165500   0.027
98  107 0.166100   0.025
99  107 0.166600   0.022
100 108 0.167100   0.020
