
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 14.8200
2    1 0.002039 13.5000
3    1 0.003732 12.3000
4    1 0.005139 11.2100
5    1 0.006307 10.2100
6    1 0.007278  9.3070
7    1 0.008084  8.4800
8    1 0.008754  7.7270
9    1 0.009310  7.0410
10   1 0.009772  6.4150
11   2 0.011060  5.8450
12   2 0.012190  5.3260
13   2 0.013120  4.8530
14   3 0.014140  4.4220
15   4 0.015530  4.0290
16   4 0.017960  3.6710
17   4 0.019970  3.3450
18   4 0.021650  3.0480
19   4 0.023040  2.7770
20   6 0.024240  2.5300
21   8 0.026400  2.3050
22   9 0.029650  2.1010
23   9 0.032790  1.9140
24  10 0.035540  1.7440
25  11 0.038610  1.5890
26  11 0.041200  1.4480
27  12 0.043540  1.3190
28  13 0.045990  1.2020
29  14 0.048270  1.0950
30  14 0.050080  0.9980
31  14 0.051590  0.9093
32  13 0.052980  0.8285
33  13 0.054050  0.7549
34  13 0.054910  0.6879
35  12 0.055470  0.6268
36  13 0.055960  0.5711
37  14 0.056620  0.5203
38  16 0.057290  0.4741
39  19 0.058340  0.4320
40  19 0.059860  0.3936
41  19 0.061220  0.3587
42  19 0.062410  0.3268
43  20 0.066780  0.2978
44  23 0.072540  0.2713
45  25 0.078680  0.2472
46  25 0.085960  0.2252
47  26 0.092330  0.2052
48  26 0.098190  0.1870
49  29 0.104100  0.1704
50  29 0.109500  0.1553
51  32 0.114400  0.1415
52  34 0.118900  0.1289
53  33 0.122900  0.1174
54  32 0.126200  0.1070
55  33 0.129100  0.0975
56  33 0.131600  0.0888
57  33 0.133800  0.0809
58  35 0.135700  0.0738
59  38 0.137300  0.0672
60  40 0.138900  0.0612
61  41 0.140400  0.0558
62  43 0.142000  0.0508
63  45 0.144600  0.0463
64  44 0.146800  0.0422
65  47 0.148800  0.0385
66  47 0.150700  0.0350
67  47 0.152300  0.0319
68  48 0.153800  0.0291
69  49 0.155100  0.0265
70  51 0.156200  0.0242
71  52 0.157200  0.0220
72  53 0.158100  0.0200
73  53 0.158900  0.0183
74  57 0.159600  0.0167
75  60 0.160300  0.0152
76  62 0.161000  0.0138
77  63 0.161500  0.0126
78  65 0.162100  0.0115
79  67 0.162700  0.0105
80  69 0.163200  0.0095
81  73 0.163800  0.0087
82  72 0.164400  0.0079
83  74 0.165000  0.0072
84  79 0.165700  0.0066
85  79 0.166300  0.0060
86  81 0.167000  0.0055
87  78 0.167800  0.0050
88  75 0.168400  0.0045
89  78 0.168900  0.0041
90  83 0.169300  0.0038
91  81 0.169900  0.0034
92  82 0.170400  0.0031
93  87 0.170700  0.0028
94  87 0.171200  0.0026
95  88 0.171600  0.0024
96  90 0.171900  0.0022
97  90 0.172300  0.0020
98  91 0.172700  0.0018
99  91 0.172900  0.0016
100 93 0.173100  0.0015
