
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 4.6310
2    1 0.001502 4.2200
3    1 0.002751 3.8450
4    1 0.003788 3.5030
5    1 0.004650 3.1920
6    1 0.005367 2.9090
7    1 0.005962 2.6500
8    1 0.006456 2.4150
9    1 0.006867 2.2000
10   1 0.007208 2.0050
11   1 0.007491 1.8270
12   1 0.007727 1.6640
13   1 0.007922 1.5170
14   1 0.008085 1.3820
15   1 0.008220 1.2590
16   1 0.008332 1.1470
17   2 0.008917 1.0450
18   3 0.010810 0.9524
19   3 0.012570 0.8678
20   4 0.014050 0.7907
21   5 0.015740 0.7205
22   6 0.017230 0.6565
23   6 0.018610 0.5981
24   6 0.019770 0.5450
25   6 0.020740 0.4966
26   6 0.021540 0.4525
27   6 0.022210 0.4123
28   8 0.022770 0.3757
29   9 0.024070 0.3423
30   9 0.025280 0.3119
31   9 0.026280 0.2842
32   9 0.027120 0.2589
33   8 0.027780 0.2359
34   9 0.029350 0.2150
35  10 0.035490 0.1959
36  10 0.041380 0.1785
37  11 0.047160 0.1626
38  14 0.052470 0.1482
39  14 0.057670 0.1350
40  15 0.062210 0.1230
41  15 0.066080 0.1121
42  17 0.069380 0.1021
43  16 0.072220 0.0930
44  17 0.074670 0.0848
45  17 0.076770 0.0772
46  16 0.078550 0.0704
47  16 0.080030 0.0641
48  16 0.081400 0.0584
49  17 0.082540 0.0532
50  16 0.083490 0.0485
51  16 0.084290 0.0442
52  16 0.084950 0.0403
53  16 0.085500 0.0367
54  16 0.085960 0.0334
55  16 0.086350 0.0305
56  18 0.086700 0.0278
57  18 0.087020 0.0253
58  18 0.087290 0.0230
59  19 0.087510 0.0210
60  22 0.087700 0.0191
61  21 0.087900 0.0174
62  21 0.088060 0.0159
63  21 0.088190 0.0145
64  21 0.088310 0.0132
65  22 0.088410 0.0120
66  22 0.088490 0.0110
67  22 0.088560 0.0100
68  22 0.088610 0.0091
69  23 0.088660 0.0083
70  24 0.088710 0.0075
71  26 0.088750 0.0069
72  26 0.088800 0.0063
73  26 0.088830 0.0057
74  26 0.088870 0.0052
75  27 0.088890 0.0047
76  27 0.088920 0.0043
77  27 0.088940 0.0039
78  27 0.088950 0.0036
79  28 0.088970 0.0033
80  28 0.088980 0.0030
81  28 0.088990 0.0027
82  28 0.089010 0.0025
83  29 0.089020 0.0023
84  30 0.089020 0.0021
85  30 0.089030 0.0019
86  30 0.089040 0.0017
87  31 0.089040 0.0016
88  31 0.089050 0.0014
89  31 0.089050 0.0013
90  31 0.089050 0.0012
91  33 0.089060 0.0011
92  35 0.089060 0.0010
93  35 0.089060 0.0009
94  36 0.089060 0.0008
95  38 0.089060 0.0007
96  38 0.089070 0.0007
97  39 0.089070 0.0006
98  39 0.089070 0.0006
99  39 0.089070 0.0005
100 39 0.089070 0.0005
