
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.46470
2   1 0.004305 0.42340
3   2 0.009185 0.38580
4   3 0.017050 0.35150
5   4 0.025110 0.32030
6   4 0.032740 0.29180
7   6 0.040480 0.26590
8   8 0.047400 0.24230
9   9 0.053420 0.22080
10 10 0.058510 0.20110
11 12 0.062920 0.18330
12 14 0.066790 0.16700
13 15 0.070240 0.15220
14 15 0.073130 0.13860
15 15 0.075540 0.12630
16 16 0.077540 0.11510
17 16 0.079210 0.10490
18 16 0.080610 0.09556
19 15 0.081770 0.08707
20 15 0.082760 0.07934
21 15 0.083570 0.07229
22 16 0.084250 0.06587
23 16 0.084810 0.06001
24 17 0.085310 0.05468
25 18 0.085740 0.04983
26 18 0.086100 0.04540
27 18 0.086390 0.04137
28 18 0.086640 0.03769
29 19 0.086860 0.03434
30 19 0.087040 0.03129
31 19 0.087190 0.02851
32 19 0.087320 0.02598
33 19 0.087430 0.02367
34 19 0.087520 0.02157
35 19 0.087590 0.01965
36 20 0.087660 0.01791
37 20 0.087710 0.01632
38 20 0.087750 0.01487
39 20 0.087790 0.01355
40 20 0.087820 0.01234
41 20 0.087850 0.01125
42 20 0.087870 0.01025
43 23 0.087910 0.00934
44 23 0.088000 0.00851
45 25 0.088080 0.00775
46 26 0.088230 0.00706
47 27 0.088360 0.00644
48 27 0.088470 0.00586
49 27 0.088560 0.00534
50 29 0.088640 0.00487
51 29 0.088700 0.00444
52 28 0.088750 0.00404
53 28 0.088800 0.00368
54 28 0.088840 0.00336
55 28 0.088870 0.00306
56 28 0.088900 0.00279
57 28 0.088920 0.00254
58 29 0.088940 0.00231
59 30 0.088960 0.00211
60 31 0.088970 0.00192
61 32 0.088980 0.00175
62 33 0.088990 0.00159
63 34 0.089000 0.00145
64 35 0.089020 0.00132
65 35 0.089020 0.00121
66 35 0.089030 0.00110
67 37 0.089040 0.00100
68 38 0.089040 0.00091
69 38 0.089050 0.00083
70 38 0.089050 0.00076
71 38 0.089060 0.00069
72 39 0.089060 0.00063
73 40 0.089060 0.00057
74 40 0.089060 0.00052
75 39 0.089070 0.00048
76 39 0.089070 0.00043
77 39 0.089070 0.00039
78 39 0.089070 0.00036
79 39 0.089070 0.00033
80 39 0.089080 0.00030
81 39 0.089080 0.00027
82 39 0.089080 0.00025
83 42 0.089080 0.00023
84 42 0.089080 0.00021
