
Call:  glmnet(x = x, y = y, alpha = 0.2, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 2.25000
2   5 0.008013 2.05000
3   9 0.019790 1.86800
4  14 0.034010 1.70200
5  15 0.047700 1.55100
6  17 0.059870 1.41300
7  19 0.070880 1.28700
8  20 0.080660 1.17300
9  23 0.089260 1.06900
10 23 0.096880 0.97380
11 23 0.103600 0.88730
12 23 0.109400 0.80840
13 24 0.114500 0.73660
14 23 0.118900 0.67120
15 22 0.122700 0.61160
16 22 0.126000 0.55720
17 23 0.128800 0.50770
18 23 0.131200 0.46260
19 23 0.133300 0.42150
20 24 0.135100 0.38410
21 23 0.136700 0.35000
22 23 0.138000 0.31890
23 22 0.139200 0.29050
24 21 0.140100 0.26470
25 22 0.141000 0.24120
26 21 0.141700 0.21980
27 20 0.142200 0.20030
28 19 0.142800 0.18250
29 18 0.143200 0.16630
30 17 0.143500 0.15150
31 17 0.143800 0.13800
32 18 0.144100 0.12580
33 18 0.144600 0.11460
34 18 0.145100 0.10440
35 18 0.145400 0.09514
36 21 0.146000 0.08669
37 22 0.146600 0.07899
38 23 0.147200 0.07197
39 25 0.147800 0.06557
40 25 0.148400 0.05975
41 28 0.149000 0.05444
42 29 0.149600 0.04961
43 29 0.150100 0.04520
44 29 0.150500 0.04118
45 31 0.150800 0.03752
46 28 0.151200 0.03419
47 33 0.151400 0.03115
48 35 0.151700 0.02839
49 32 0.151900 0.02586
50 34 0.152100 0.02357
51 36 0.152300 0.02147
52 38 0.152500 0.01957
53 39 0.152600 0.01783
54 40 0.152700 0.01624
55 41 0.152800 0.01480
56 42 0.152900 0.01349
57 42 0.153000 0.01229
58 43 0.153100 0.01120
59 44 0.153200 0.01020
60 44 0.153200 0.00930
61 44 0.153300 0.00847
62 44 0.153300 0.00772
63 44 0.153300 0.00703
64 44 0.153400 0.00641
65 46 0.153400 0.00584
66 47 0.153400 0.00532
67 47 0.153400 0.00485
68 47 0.153400 0.00442
69 47 0.153400 0.00402
70 49 0.153400 0.00367
71 50 0.153500 0.00334
72 50 0.153500 0.00304
73 50 0.153500 0.00277
74 50 0.153500 0.00253
75 50 0.153500 0.00230
76 50 0.153500 0.00210
77 51 0.153500 0.00191
78 51 0.153500 0.00174
79 51 0.153500 0.00159
80 51 0.153500 0.00145
81 51 0.153500 0.00132
82 53 0.153500 0.00120
83 53 0.153500 0.00109
84 54 0.153500 0.00100
85 56 0.153500 0.00091
