
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.81800
2   2 0.01134 0.74530
3   4 0.02500 0.67910
4   8 0.04181 0.61880
5  10 0.05726 0.56380
6  11 0.07054 0.51370
7  12 0.08187 0.46810
8  13 0.09178 0.42650
9  13 0.10010 0.38860
10 13 0.10720 0.35410
11 13 0.11310 0.32260
12 16 0.11810 0.29400
13 16 0.12250 0.26790
14 16 0.12610 0.24410
15 16 0.12920 0.22240
16 17 0.13180 0.20260
17 16 0.13400 0.18460
18 16 0.13590 0.16820
19 16 0.13740 0.15330
20 16 0.13870 0.13970
21 15 0.13980 0.12730
22 15 0.14070 0.11600
23 15 0.14150 0.10570
24 15 0.14210 0.09626
25 14 0.14270 0.08771
26 14 0.14310 0.07992
27 15 0.14350 0.07282
28 16 0.14380 0.06635
29 16 0.14400 0.06046
30 16 0.14430 0.05509
31 16 0.14450 0.05019
32 17 0.14470 0.04573
33 17 0.14510 0.04167
34 18 0.14550 0.03797
35 19 0.14590 0.03460
36 20 0.14640 0.03152
37 21 0.14720 0.02872
38 21 0.14780 0.02617
39 22 0.14850 0.02385
40 23 0.14900 0.02173
41 24 0.14960 0.01980
42 24 0.15010 0.01804
43 25 0.15060 0.01644
44 25 0.15100 0.01498
45 25 0.15130 0.01365
46 25 0.15150 0.01243
47 28 0.15170 0.01133
48 31 0.15190 0.01032
49 31 0.15210 0.00940
50 33 0.15230 0.00857
51 33 0.15250 0.00781
52 32 0.15270 0.00712
53 33 0.15280 0.00648
54 33 0.15290 0.00591
55 34 0.15300 0.00538
56 36 0.15300 0.00490
57 36 0.15310 0.00447
58 38 0.15320 0.00407
59 37 0.15320 0.00371
60 38 0.15320 0.00338
61 40 0.15330 0.00308
62 41 0.15330 0.00281
63 42 0.15330 0.00256
64 43 0.15340 0.00233
65 43 0.15340 0.00212
66 43 0.15340 0.00193
67 43 0.15340 0.00176
68 45 0.15340 0.00161
69 46 0.15340 0.00146
70 46 0.15350 0.00133
71 46 0.15350 0.00122
72 46 0.15350 0.00111
73 48 0.15350 0.00101
74 48 0.15350 0.00092
75 49 0.15350 0.00084
76 51 0.15350 0.00076
77 51 0.15350 0.00070
78 51 0.15350 0.00063
79 51 0.15350 0.00058
80 51 0.15350 0.00053
81 54 0.15350 0.00048
82 54 0.15350 0.00044
83 54 0.15350 0.00040
84 54 0.15350 0.00036
