
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 14.9500
2    1 0.005649 13.6200
3    1 0.010350 12.4100
4    1 0.014250 11.3100
5    1 0.017490 10.3100
6    1 0.020190  9.3900
7    3 0.022840  8.5560
8    3 0.026870  7.7960
9    3 0.030220  7.1030
10   3 0.033000  6.4720
11   3 0.035310  5.8970
12   3 0.037230  5.3730
13   3 0.038820  4.8960
14   3 0.040150  4.4610
15   3 0.041250  4.0650
16   3 0.042170  3.7040
17   4 0.043450  3.3750
18   4 0.046070  3.0750
19   4 0.048330  2.8020
20   4 0.050230  2.5530
21   4 0.051810  2.3260
22   4 0.053120  2.1190
23   4 0.054220  1.9310
24   5 0.055150  1.7600
25   5 0.055990  1.6030
26   5 0.056670  1.4610
27   6 0.057690  1.3310
28   6 0.058590  1.2130
29   6 0.059330  1.1050
30   6 0.059950  1.0070
31   7 0.060660  0.9174
32   7 0.061380  0.8359
33   7 0.061970  0.7617
34   7 0.062470  0.6940
35   8 0.062880  0.6323
36   9 0.063430  0.5762
37   9 0.063970  0.5250
38   9 0.065020  0.4783
39   9 0.066180  0.4359
40   9 0.067120  0.3971
41   9 0.067900  0.3619
42  10 0.068690  0.3297
43  12 0.069550  0.3004
44  14 0.077840  0.2737
45  16 0.087270  0.2494
46  15 0.095770  0.2273
47  15 0.103000  0.2071
48  19 0.109700  0.1887
49  18 0.115600  0.1719
50  19 0.120700  0.1566
51  21 0.125100  0.1427
52  22 0.129000  0.1300
53  24 0.132500  0.1185
54  24 0.135400  0.1080
55  23 0.138000  0.0984
56  23 0.140200  0.0896
57  24 0.142000  0.0817
58  24 0.143600  0.0744
59  24 0.145000  0.0678
60  24 0.146100  0.0618
61  25 0.147100  0.0563
62  26 0.147900  0.0513
63  27 0.148700  0.0467
64  26 0.149300  0.0426
65  27 0.150000  0.0388
66  30 0.150500  0.0354
67  29 0.150900  0.0322
68  29 0.151300  0.0294
69  31 0.151600  0.0267
70  31 0.151900  0.0244
71  31 0.152100  0.0222
72  32 0.152300  0.0202
73  34 0.152500  0.0184
74  35 0.152600  0.0168
75  33 0.152800  0.0153
76  36 0.152800  0.0139
77  37 0.153000  0.0127
78  38 0.153000  0.0116
79  39 0.153100  0.0106
80  40 0.153200  0.0096
81  41 0.153200  0.0088
82  41 0.153300  0.0080
83  42 0.153300  0.0073
84  42 0.153300  0.0066
85  42 0.153400  0.0060
86  43 0.153400  0.0055
87  46 0.153400  0.0050
88  46 0.153400  0.0046
89  46 0.153400  0.0042
90  47 0.153400  0.0038
91  49 0.153400  0.0035
92  50 0.153400  0.0031
93  53 0.153400  0.0029
94  55 0.153500  0.0026
95  55 0.153500  0.0024
96  56 0.153500  0.0022
97  57 0.153500  0.0020
98  57 0.153500  0.0018
99  58 0.153500  0.0016
100 58 0.153500  0.0015
