
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = TRUE) 

     Df    %Dev  Lambda
1     0 0.00000 0.64920
2     1 0.00886 0.59150
3     2 0.02328 0.53890
4     2 0.03581 0.49110
5     3 0.04917 0.44740
6     4 0.06157 0.40770
7     4 0.07284 0.37150
8     7 0.08271 0.33850
9     9 0.09209 0.30840
10   10 0.10030 0.28100
11   11 0.10740 0.25600
12   12 0.11340 0.23330
13   15 0.11870 0.21260
14   14 0.12360 0.19370
15   14 0.12740 0.17650
16   14 0.13060 0.16080
17   14 0.13330 0.14650
18   14 0.13550 0.13350
19   14 0.13740 0.12160
20   14 0.13890 0.11080
21   14 0.14020 0.10100
22   14 0.14130 0.09202
23   14 0.14220 0.08384
24   14 0.14290 0.07639
25   14 0.14360 0.06961
26   14 0.14410 0.06342
27   14 0.14450 0.05779
28   14 0.14480 0.05265
29   14 0.14510 0.04798
30   14 0.14540 0.04372
31   14 0.14560 0.03983
32   14 0.14580 0.03629
33   14 0.14590 0.03307
34   15 0.14630 0.03013
35   15 0.14670 0.02745
36   15 0.14710 0.02502
37   16 0.14740 0.02279
38   45 0.14810 0.02077
39   49 0.14920 0.01892
40   49 0.15020 0.01724
41   43 0.15110 0.01571
42   49 0.15180 0.01431
43   51 0.15240 0.01304
44   51 0.15300 0.01188
45   49 0.15370 0.01083
46   60 0.15430 0.00987
47   59 0.15490 0.00899
48   70 0.15540 0.00819
49   70 0.15600 0.00746
50   71 0.15670 0.00680
51   70 0.15720 0.00620
52   73 0.15770 0.00565
53   75 0.15820 0.00514
54   70 0.15880 0.00469
55   70 0.15920 0.00427
56   70 0.15970 0.00389
57   69 0.16010 0.00355
58   69 0.16040 0.00323
59   76 0.16060 0.00294
60   72 0.16090 0.00268
61   66 0.16120 0.00244
62   67 0.16130 0.00223
63   69 0.16150 0.00203
64   76 0.16160 0.00185
65   77 0.16170 0.00168
66   80 0.16190 0.00154
67   80 0.16200 0.00140
68   86 0.16210 0.00127
69   78 0.16220 0.00116
70   80 0.16230 0.00106
71   87 0.16240 0.00096
72   91 0.16250 0.00088
73   99 0.16250 0.00080
74  100 0.16260 0.00073
75  102 0.16270 0.00066
76  102 0.16270 0.00061
77  102 0.16280 0.00055
78  103 0.16280 0.00050
79  105 0.16280 0.00046
80  106 0.16280 0.00042
81  107 0.16290 0.00038
82  108 0.16290 0.00035
83  108 0.16290 0.00032
84  110 0.16290 0.00029
85  111 0.16300 0.00026
86  112 0.16300 0.00024
87  113 0.16300 0.00022
88  113 0.16300 0.00020
89  113 0.16300 0.00018
90  112 0.16300 0.00016
91  112 0.16300 0.00015
92  112 0.16300 0.00014
93  113 0.16300 0.00012
94  113 0.16300 0.00011
95  113 0.16300 0.00010
96  112 0.16300 0.00009
97  112 0.16300 0.00009
98  113 0.16310 0.00008
99  112 0.16310 0.00007
100 113 0.16310 0.00006
