
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 17.9800
2    1 0.002470 16.3800
3    1 0.004521 14.9300
4    2 0.006354 13.6000
5    2 0.008217 12.3900
6    2 0.009766 11.2900
7    2 0.011050 10.2900
8    2 0.012120  9.3760
9    2 0.013000  8.5430
10   2 0.013740  7.7840
11   2 0.014350  7.0920
12   2 0.014860  6.4620
13   2 0.015280  5.8880
14   2 0.015630  5.3650
15   2 0.015920  4.8890
16   3 0.016170  4.4540
17   3 0.016500  4.0590
18   4 0.017320  3.6980
19   5 0.019110  3.3690
20   5 0.020690  3.0700
21   5 0.022000  2.7970
22   5 0.023090  2.5490
23   6 0.024460  2.3220
24   7 0.025930  2.1160
25   7 0.027170  1.9280
26   7 0.028200  1.7570
27   8 0.029050  1.6010
28   8 0.029800  1.4590
29   8 0.030460  1.3290
30   9 0.031140  1.2110
31  11 0.031940  1.1030
32  10 0.034050  1.0050
33  10 0.036210  0.9160
34  10 0.037950  0.8346
35  10 0.039410  0.7605
36  10 0.040620  0.6929
37   9 0.041560  0.6314
38   9 0.042310  0.5753
39  10 0.042940  0.5242
40  10 0.043470  0.4776
41  11 0.043910  0.4352
42  12 0.044440  0.3965
43  13 0.044890  0.3613
44  12 0.045220  0.3292
45  13 0.045640  0.3000
46  15 0.051080  0.2733
47  15 0.058910  0.2490
48  14 0.065810  0.2269
49  16 0.075690  0.2067
50  16 0.084260  0.1884
51  17 0.091870  0.1716
52  18 0.099880  0.1564
53  18 0.106700  0.1425
54  18 0.112600  0.1298
55  21 0.117700  0.1183
56  23 0.122300  0.1078
57  23 0.126400  0.0982
58  24 0.129700  0.0895
59  26 0.132600  0.0816
60  27 0.135100  0.0743
61  28 0.137200  0.0677
62  28 0.138900  0.0617
63  29 0.140400  0.0562
64  30 0.141700  0.0512
65  30 0.142700  0.0467
66  31 0.143700  0.0425
67  30 0.144800  0.0387
68  30 0.146800  0.0353
69  33 0.148700  0.0322
70  34 0.150300  0.0293
71  35 0.152200  0.0267
72  35 0.153800  0.0243
73  37 0.155200  0.0222
74  37 0.156400  0.0202
75  37 0.157500  0.0184
76  37 0.158400  0.0168
77  37 0.159300  0.0153
78  38 0.160100  0.0139
79  38 0.160700  0.0127
80  39 0.161300  0.0116
81  37 0.161800  0.0105
82  38 0.162200  0.0096
83  38 0.162600  0.0087
84  43 0.162900  0.0080
85  44 0.163200  0.0073
86  44 0.163500  0.0066
87  45 0.163700  0.0060
88  45 0.163900  0.0055
89  46 0.164100  0.0050
90  48 0.164200  0.0046
91  49 0.164300  0.0042
92  49 0.164500  0.0038
93  52 0.164500  0.0034
94  53 0.164600  0.0031
95  57 0.164700  0.0029
96  59 0.164700  0.0026
97  61 0.164800  0.0024
98  64 0.164800  0.0022
99  65 0.164900  0.0020
100 65 0.164900  0.0018
