
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.59030
2    1 0.009461 0.53790
3    1 0.017400 0.49010
4    1 0.024050 0.44660
5    1 0.029620 0.40690
6    2 0.036030 0.37080
7    3 0.044570 0.33780
8    5 0.055790 0.30780
9    6 0.066980 0.28050
10   8 0.077440 0.25550
11  10 0.087390 0.23280
12  12 0.096670 0.21220
13  13 0.104900 0.19330
14  13 0.112000 0.17610
15  18 0.118600 0.16050
16  16 0.124100 0.14620
17  18 0.128800 0.13320
18  18 0.132800 0.12140
19  19 0.136200 0.11060
20  20 0.139100 0.10080
21  20 0.141600 0.09184
22  20 0.143600 0.08368
23  19 0.145300 0.07625
24  19 0.146700 0.06947
25  19 0.147900 0.06330
26  19 0.148800 0.05768
27  19 0.149600 0.05255
28  19 0.150200 0.04788
29  19 0.150700 0.04363
30  19 0.151200 0.03975
31  20 0.151500 0.03622
32  22 0.151900 0.03301
33  22 0.152100 0.03007
34  23 0.152300 0.02740
35  23 0.152600 0.02497
36  22 0.153100 0.02275
37  22 0.153500 0.02073
38  22 0.153800 0.01889
39  23 0.154300 0.01721
40  23 0.154900 0.01568
41  24 0.155600 0.01429
42  27 0.156200 0.01302
43  28 0.156800 0.01186
44  31 0.157300 0.01081
45  30 0.158100 0.00985
46  31 0.158700 0.00897
47  32 0.159300 0.00818
48  34 0.159800 0.00745
49  35 0.160300 0.00679
50  37 0.160800 0.00618
51  37 0.161200 0.00564
52  39 0.161600 0.00514
53  39 0.161900 0.00468
54  41 0.162100 0.00426
55  40 0.162500 0.00388
56  43 0.162700 0.00354
57  44 0.163100 0.00322
58  44 0.163400 0.00294
59  45 0.163600 0.00268
60  45 0.163800 0.00244
61  47 0.163900 0.00222
62  50 0.164100 0.00202
63  51 0.164200 0.00184
64  54 0.164300 0.00168
65  55 0.164400 0.00153
66  54 0.164500 0.00140
67  54 0.164600 0.00127
68  54 0.164700 0.00116
69  57 0.164800 0.00106
70  59 0.164800 0.00096
71  59 0.164900 0.00088
72  58 0.164900 0.00080
73  62 0.164900 0.00073
74  62 0.165000 0.00066
75  60 0.165000 0.00060
76  60 0.165000 0.00055
77  60 0.165100 0.00050
78  67 0.165100 0.00046
79  67 0.165100 0.00042
80  68 0.165100 0.00038
81  69 0.165100 0.00035
82  69 0.165100 0.00032
83  69 0.165100 0.00029
84  73 0.165100 0.00026
85  72 0.165100 0.00024
86  74 0.165100 0.00022
87  75 0.165100 0.00020
88  75 0.165200 0.00018
89  77 0.165200 0.00016
90  79 0.165200 0.00015
91  82 0.165200 0.00014
92  85 0.165200 0.00012
93  86 0.165200 0.00011
94  88 0.165200 0.00010
95  88 0.165200 0.00009
96  90 0.165200 0.00009
97  90 0.165200 0.00008
98  90 0.165200 0.00007
99  93 0.165200 0.00006
100 93 0.165200 0.00006
