
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 12.5900
2    1 0.002472 11.4700
3    1 0.004525 10.4500
4    2 0.006356  9.5220
5    2 0.008220  8.6760
6    2 0.009769  7.9050
7    2 0.011050  7.2030
8    2 0.012120  6.5630
9    2 0.013010  5.9800
10   2 0.013740  5.4490
11   2 0.014350  4.9650
12   2 0.014860  4.5240
13   2 0.015280  4.1220
14   2 0.015630  3.7560
15   2 0.015920  3.4220
16   3 0.016170  3.1180
17   3 0.016500  2.8410
18   4 0.017320  2.5890
19   5 0.019120  2.3590
20   5 0.020690  2.1490
21   5 0.022010  1.9580
22   5 0.023100  1.7840
23   6 0.024470  1.6260
24   7 0.025930  1.4810
25   7 0.027180  1.3500
26   7 0.028200  1.2300
27   8 0.029060  1.1210
28   8 0.029810  1.0210
29   8 0.030470  0.9303
30   9 0.031140  0.8476
31  11 0.031940  0.7723
32  10 0.034080  0.7037
33  10 0.036240  0.6412
34  10 0.037990  0.5842
35  10 0.039450  0.5323
36  10 0.040670  0.4851
37   9 0.041600  0.4420
38   9 0.042350  0.4027
39  10 0.042980  0.3669
40  10 0.043500  0.3343
41  11 0.043940  0.3046
42  12 0.044460  0.2776
43  12 0.044900  0.2529
44  12 0.045240  0.2304
45  13 0.045650  0.2100
46  15 0.052240  0.1913
47  15 0.061440  0.1743
48  15 0.069210  0.1588
49  16 0.080030  0.1447
50  15 0.089020  0.1319
51  16 0.096430  0.1202
52  18 0.104400  0.1095
53  18 0.111100  0.0998
54  18 0.116600  0.0909
55  21 0.121400  0.0828
56  22 0.125400  0.0755
57  23 0.128900  0.0688
58  24 0.132000  0.0626
59  26 0.134600  0.0571
60  27 0.136800  0.0520
61  28 0.138700  0.0474
62  28 0.140200  0.0432
63  29 0.141500  0.0393
64  30 0.142600  0.0358
65  30 0.143500  0.0327
66  31 0.144400  0.0298
67  30 0.145300  0.0271
68  30 0.147700  0.0247
69  33 0.149800  0.0225
70  34 0.151600  0.0205
71  35 0.153400  0.0187
72  36 0.155000  0.0170
73  37 0.156400  0.0155
74  37 0.157500  0.0141
75  37 0.158500  0.0129
76  37 0.159400  0.0117
77  38 0.160200  0.0107
78  38 0.160900  0.0097
79  38 0.161400  0.0089
80  39 0.161800  0.0081
81  39 0.162300  0.0074
82  38 0.162700  0.0067
83  40 0.163000  0.0061
84  43 0.163200  0.0056
85  45 0.163500  0.0051
86  45 0.163700  0.0046
87  45 0.163900  0.0042
88  48 0.164000  0.0038
89  50 0.164200  0.0035
90  51 0.164300  0.0032
91  50 0.164400  0.0029
92  51 0.164500  0.0026
93  51 0.164600  0.0024
94  52 0.164700  0.0022
95  56 0.164700  0.0020
96  62 0.164800  0.0018
97  62 0.164800  0.0017
98  63 0.164900  0.0015
99  64 0.164900  0.0014
100 67 0.165000  0.0013
