
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

   Df    %Dev  Lambda
1   0 0.00000 11.8200
2   1 0.01542 10.7700
3   2 0.03379  9.8170
4   2 0.05032  8.9450
5   2 0.06412  8.1500
6   2 0.07564  7.4260
7   2 0.08525  6.7660
8   2 0.09326  6.1650
9   4 0.10070  5.6180
10  4 0.10820  5.1190
11  4 0.11440  4.6640
12  4 0.11960  4.2490
13  4 0.12390  3.8720
14  4 0.12750  3.5280
15  4 0.13050  3.2150
16  4 0.13300  2.9290
17  4 0.13500  2.6690
18  4 0.13680  2.4320
19  4 0.13820  2.2160
20  4 0.13940  2.0190
21  4 0.14040  1.8400
22  4 0.14120  1.6760
23  4 0.14190  1.5270
24  4 0.14240  1.3920
25  4 0.14290  1.2680
26  4 0.14330  1.1550
27  4 0.14360  1.0530
28  4 0.14390  0.9591
29  4 0.14410  0.8739
30  4 0.14430  0.7963
31  4 0.14450  0.7255
32  4 0.14460  0.6611
33  5 0.14550  0.6024
34  5 0.14630  0.5488
35  5 0.14710  0.5001
36  5 0.14770  0.4557
37  6 0.14840  0.4152
38  7 0.14930  0.3783
39  7 0.15010  0.3447
40  8 0.15080  0.3141
41  8 0.15150  0.2862
42  8 0.15200  0.2607
43  8 0.15240  0.2376
44  8 0.15280  0.2165
45  8 0.15310  0.1972
46  8 0.15330  0.1797
47  8 0.15350  0.1638
48  8 0.15370  0.1492
49  8 0.15390  0.1360
50  8 0.15400  0.1239
51  8 0.15410  0.1129
52  9 0.15420  0.1028
53  9 0.15430  0.0937
54  9 0.15440  0.0854
55  9 0.15450  0.0778
56  9 0.15450  0.0709
57 10 0.15460  0.0646
58 10 0.15470  0.0588
59 10 0.15470  0.0536
60 10 0.15470  0.0489
61 10 0.15480  0.0445
62 11 0.15480  0.0406
63 11 0.15480  0.0370
64 11 0.15480  0.0337
65 11 0.15490  0.0307
66 11 0.15490  0.0280
67 11 0.15490  0.0255
68 11 0.15490  0.0232
69 11 0.15490  0.0212
70 12 0.15490  0.0193
71 12 0.15490  0.0176
72 12 0.15490  0.0160
73 12 0.15490  0.0146
74 12 0.15490  0.0133
75 12 0.15490  0.0121
76 12 0.15490  0.0110
77 12 0.15490  0.0100
78 12 0.15490  0.0092
79 12 0.15490  0.0083
