
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.58800
2   1 0.008188 1.44600
3   1 0.015600 1.31800
4   2 0.023060 1.20100
5   6 0.036570 1.09400
6   8 0.049810 0.99700
7   9 0.061240 0.90840
8  12 0.071160 0.82770
9  12 0.079680 0.75420
10 13 0.087000 0.68720
11 13 0.093260 0.62620
12 13 0.098610 0.57050
13 13 0.103200 0.51980
14 13 0.107000 0.47370
15 14 0.110300 0.43160
16 14 0.113000 0.39320
17 14 0.115400 0.35830
18 14 0.117400 0.32650
19 14 0.119000 0.29750
20 14 0.120400 0.27100
21 14 0.121600 0.24700
22 14 0.122600 0.22500
23 14 0.123400 0.20500
24 14 0.124100 0.18680
25 14 0.124700 0.17020
26 15 0.125200 0.15510
27 16 0.125600 0.14130
28 17 0.125900 0.12880
29 17 0.126200 0.11730
30 18 0.126500 0.10690
31 18 0.126700 0.09741
32 19 0.126800 0.08876
33 20 0.127000 0.08087
34 20 0.127100 0.07369
35 20 0.127200 0.06714
36 20 0.127300 0.06118
37 20 0.127300 0.05574
38 19 0.127400 0.05079
39 19 0.127400 0.04628
40 19 0.127500 0.04217
41 19 0.127500 0.03842
42 19 0.127500 0.03501
43 19 0.127600 0.03190
44 20 0.127600 0.02906
45 20 0.127600 0.02648
46 20 0.127600 0.02413
47 20 0.127600 0.02199
48 20 0.127600 0.02003
49 20 0.127700 0.01825
50 20 0.127700 0.01663
51 19 0.127700 0.01515
52 19 0.127700 0.01381
53 19 0.127700 0.01258
54 19 0.127700 0.01146
55 21 0.127700 0.01044
56 21 0.127700 0.00952
57 22 0.127800 0.00867
58 22 0.127800 0.00790
59 23 0.127800 0.00720
60 23 0.127900 0.00656
61 22 0.127900 0.00598
62 22 0.127900 0.00545
63 22 0.127900 0.00496
64 22 0.127900 0.00452
65 22 0.127900 0.00412
66 22 0.127900 0.00375
67 22 0.128000 0.00342
68 22 0.128000 0.00312
69 23 0.128000 0.00284
70 23 0.128000 0.00259
71 23 0.128000 0.00236
72 23 0.128000 0.00215
73 23 0.128000 0.00196
74 23 0.128000 0.00178
75 23 0.128000 0.00162
76 23 0.128000 0.00148
77 23 0.128000 0.00135
78 23 0.128000 0.00123
79 23 0.128000 0.00112
80 23 0.128000 0.00102
