
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.69450
2   1 0.01102 0.63280
3   1 0.02032 0.57660
4   2 0.02923 0.52540
5   5 0.04375 0.47870
6   6 0.05751 0.43620
7   6 0.06907 0.39740
8   8 0.07875 0.36210
9   8 0.08680 0.33000
10  9 0.09356 0.30070
11 10 0.09925 0.27390
12 10 0.10400 0.24960
13 10 0.10790 0.22740
14 11 0.11120 0.20720
15 11 0.11400 0.18880
16 11 0.11630 0.17200
17 11 0.11820 0.15680
18 11 0.11980 0.14280
19 11 0.12110 0.13010
20 12 0.12220 0.11860
21 12 0.12310 0.10800
22 12 0.12390 0.09845
23 12 0.12450 0.08970
24 12 0.12500 0.08173
25 12 0.12550 0.07447
26 12 0.12580 0.06786
27 12 0.12620 0.06183
28 12 0.12640 0.05634
29 12 0.12660 0.05133
30 12 0.12680 0.04677
31 12 0.12690 0.04262
32 12 0.12710 0.03883
33 12 0.12720 0.03538
34 14 0.12720 0.03224
35 16 0.12730 0.02937
36 15 0.12740 0.02676
37 15 0.12740 0.02439
38 16 0.12750 0.02222
39 17 0.12750 0.02025
40 16 0.12750 0.01845
41 16 0.12760 0.01681
42 14 0.12760 0.01532
43 14 0.12760 0.01396
44 14 0.12760 0.01272
45 14 0.12760 0.01159
46 14 0.12770 0.01056
47 14 0.12770 0.00962
48 14 0.12770 0.00876
49 14 0.12770 0.00799
50 14 0.12770 0.00728
51 14 0.12770 0.00663
52 14 0.12770 0.00604
53 14 0.12770 0.00550
54 15 0.12770 0.00502
55 16 0.12770 0.00457
56 19 0.12770 0.00416
57 20 0.12780 0.00379
58 21 0.12780 0.00346
59 22 0.12780 0.00315
60 22 0.12780 0.00287
61 23 0.12790 0.00262
62 21 0.12790 0.00238
63 22 0.12790 0.00217
64 21 0.12790 0.00198
65 22 0.12790 0.00180
66 22 0.12790 0.00164
67 22 0.12790 0.00150
68 22 0.12800 0.00136
69 22 0.12800 0.00124
70 22 0.12800 0.00113
71 23 0.12800 0.00103
72 22 0.12800 0.00094
73 22 0.12800 0.00086
74 24 0.12800 0.00078
75 24 0.12800 0.00071
76 25 0.12800 0.00065
77 25 0.12800 0.00059
78 25 0.12800 0.00054
79 25 0.12800 0.00049
80 24 0.12800 0.00045
81 25 0.12800 0.00041
82 26 0.12800 0.00037
83 28 0.12800 0.00034
