
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 9.2920
2    1 0.006103 8.4670
3    1 0.011170 7.7140
4    1 0.015380 7.0290
5    1 0.018880 6.4050
6    1 0.021780 5.8360
7    1 0.024190 5.3170
8    1 0.026190 4.8450
9    1 0.027850 4.4140
10   1 0.029230 4.0220
11   1 0.030380 3.6650
12   1 0.031330 3.3390
13   1 0.032120 3.0430
14   2 0.034160 2.7720
15   3 0.036650 2.5260
16   3 0.039870 2.3020
17   3 0.042540 2.0970
18   3 0.044760 1.9110
19   3 0.046610 1.7410
20   4 0.048260 1.5860
21   4 0.049670 1.4460
22   4 0.050840 1.3170
23   4 0.051810 1.2000
24   4 0.052620 1.0930
25   4 0.053290 0.9964
26   4 0.053850 0.9078
27   4 0.054310 0.8272
28   4 0.054690 0.7537
29   4 0.055010 0.6867
30   4 0.055280 0.6257
31   4 0.055500 0.5701
32   4 0.055680 0.5195
33   4 0.055830 0.4733
34   4 0.055960 0.4313
35   4 0.056070 0.3930
36   4 0.056150 0.3581
37   4 0.056220 0.3263
38   4 0.056280 0.2973
39   4 0.056330 0.2709
40   5 0.057660 0.2468
41   5 0.068540 0.2249
42   5 0.077720 0.2049
43   5 0.085470 0.1867
44   5 0.092000 0.1701
45   6 0.097500 0.1550
46   6 0.102200 0.1412
47   6 0.106200 0.1287
48   6 0.109500 0.1173
49   6 0.112300 0.1068
50   7 0.114600 0.0973
51   7 0.116600 0.0887
52   7 0.118200 0.0808
53   7 0.119600 0.0736
54   7 0.120800 0.0671
55   8 0.121700 0.0611
56   9 0.122600 0.0557
57   9 0.123300 0.0508
58   9 0.123900 0.0462
59   9 0.124400 0.0421
60   9 0.124800 0.0384
61  11 0.125200 0.0350
62  11 0.125600 0.0319
63  11 0.126000 0.0290
64  11 0.126300 0.0265
65  11 0.126600 0.0241
66  11 0.126800 0.0220
67  11 0.127100 0.0200
68   9 0.127200 0.0182
69   9 0.127300 0.0166
70   9 0.127400 0.0151
71   9 0.127500 0.0138
72   9 0.127600 0.0126
73   9 0.127700 0.0115
74  10 0.127700 0.0104
75  10 0.127800 0.0095
76  11 0.127800 0.0087
77  11 0.127800 0.0079
78  11 0.127900 0.0072
79  12 0.127900 0.0066
80  12 0.127900 0.0060
81  12 0.127900 0.0054
82  13 0.127900 0.0050
83  13 0.127900 0.0045
84  13 0.127900 0.0041
85  14 0.127900 0.0038
86  16 0.128000 0.0034
87  16 0.128000 0.0031
88  17 0.128000 0.0028
89  19 0.128000 0.0026
90  19 0.128000 0.0024
91  20 0.128000 0.0021
92  20 0.128000 0.0020
93  20 0.128000 0.0018
94  19 0.128000 0.0016
95  20 0.128000 0.0015
96  20 0.128000 0.0013
97  20 0.128000 0.0012
98  20 0.128000 0.0011
99  20 0.128000 0.0010
100 20 0.128000 0.0009
