
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 14.2700
2     6 0.002061 13.0000
3    14 0.006797 11.8500
4    19 0.013320 10.8000
5    29 0.020670  9.8370
6    32 0.028130  8.9630
7    38 0.035420  8.1660
8    38 0.042280  7.4410
9    38 0.048770  6.7800
10   38 0.054870  6.1780
11   40 0.060620  5.6290
12   40 0.066020  5.1290
13   39 0.071110  4.6730
14   40 0.075900  4.2580
15   40 0.080400  3.8800
16   40 0.084630  3.5350
17   41 0.088600  3.2210
18   40 0.092310  2.9350
19   38 0.095770  2.6740
20   38 0.098970  2.4370
21   38 0.102000  2.2200
22   38 0.104700  2.0230
23   36 0.107300  1.8430
24   35 0.109600  1.6790
25   35 0.111700  1.5300
26   34 0.113700  1.3940
27   32 0.115500  1.2700
28   32 0.117000  1.1580
29   31 0.118500  1.0550
30   31 0.119800  0.9610
31   30 0.121000  0.8757
32   29 0.122100  0.7979
33   32 0.123400  0.7270
34   32 0.124700  0.6624
35   32 0.125800  0.6036
36   32 0.126900  0.5499
37   33 0.127800  0.5011
38   37 0.128700  0.4566
39   38 0.129600  0.4160
40   40 0.130400  0.3791
41   39 0.131200  0.3454
42   40 0.131900  0.3147
43   41 0.132600  0.2867
44   41 0.133200  0.2613
45   43 0.133700  0.2381
46   44 0.134300  0.2169
47   45 0.134900  0.1976
48   48 0.135400  0.1801
49   48 0.136000  0.1641
50   49 0.136500  0.1495
51   49 0.137000  0.1362
52   51 0.137400  0.1241
53   50 0.137800  0.1131
54   49 0.138200  0.1030
55   48 0.138600  0.0939
56   49 0.138900  0.0856
57   50 0.139200  0.0780
58   51 0.139500  0.0710
59   53 0.139800  0.0647
60   56 0.140100  0.0590
61   54 0.140400  0.0537
62   57 0.140700  0.0490
63   61 0.141000  0.0446
64   66 0.141300  0.0406
65   72 0.141500  0.0370
66   82 0.141800  0.0337
67   89 0.142000  0.0308
68   92 0.142300  0.0280
69   92 0.142500  0.0255
70   93 0.142700  0.0233
71   95 0.142800  0.0212
72   95 0.143000  0.0193
73   96 0.143100  0.0176
74   98 0.143300  0.0160
75   98 0.143400  0.0146
76   97 0.143500  0.0133
77   97 0.143600  0.0121
78   99 0.143700  0.0111
79  102 0.143800  0.0101
80  102 0.143900  0.0092
81  106 0.144000  0.0084
82  106 0.144000  0.0076
83  106 0.144100  0.0069
84  108 0.144200  0.0063
85  110 0.144200  0.0058
86  111 0.144300  0.0052
87  111 0.144300  0.0048
88  109 0.144400  0.0044
89  108 0.144400  0.0040
90  109 0.144500  0.0036
91  109 0.144500  0.0033
92  110 0.144600  0.0030
93  110 0.144600  0.0027
94  111 0.144600  0.0025
95  112 0.144700  0.0023
96  113 0.144700  0.0021
97  113 0.144800  0.0019
98  113 0.144800  0.0017
99  113 0.144800  0.0016
100 113 0.144800  0.0014
