
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 36.600
2    1 0.004521 33.350
3    1 0.008278 30.380
4    1 0.011400 27.680
5    1 0.013990 25.220
6    1 0.016150 22.980
7    1 0.017940 20.940
8    1 0.019430 19.080
9    1 0.020660 17.390
10   1 0.021690 15.840
11   1 0.022540 14.430
12   1 0.023250 13.150
13   1 0.023830 11.980
14   1 0.024320 10.920
15   1 0.024730  9.949
16   1 0.025060  9.065
17   1 0.025340  8.260
18   2 0.025690  7.526
19   2 0.026260  6.857
20   2 0.026740  6.248
21   2 0.027140  5.693
22   2 0.027470  5.187
23   2 0.027740  4.727
24   2 0.027970  4.307
25   3 0.028170  3.924
26   4 0.031230  3.576
27   4 0.034130  3.258
28   4 0.036530  2.968
29   4 0.038540  2.705
30   4 0.040220  2.464
31   5 0.041820  2.246
32   6 0.043390  2.046
33   6 0.044660  1.864
34   6 0.045770  1.699
35   6 0.046700  1.548
36   7 0.047780  1.410
37   8 0.049400  1.285
38   8 0.050740  1.171
39   8 0.051850  1.067
40   8 0.052790  0.972
41   9 0.054090  0.886
42   9 0.055290  0.807
43  10 0.056300  0.735
44  10 0.057300  0.670
45   9 0.058160  0.610
46   9 0.058870  0.556
47  11 0.059710  0.507
48  12 0.060790  0.462
49  13 0.061670  0.421
50  13 0.062440  0.383
51  14 0.066230  0.349
52  15 0.069760  0.318
53  19 0.077140  0.290
54  19 0.085230  0.264
55  19 0.092260  0.241
56  20 0.098380  0.219
57  22 0.103900  0.200
58  25 0.108800  0.182
59  26 0.113200  0.166
60  27 0.117200  0.151
61  27 0.120700  0.138
62  29 0.123600  0.126
63  29 0.126100  0.114
64  29 0.128300  0.104
65  30 0.130300  0.095
66  30 0.132000  0.087
67  31 0.133600  0.079
68  31 0.134900  0.072
69  32 0.136100  0.065
70  33 0.137100  0.060
71  34 0.137900  0.054
72  35 0.138600  0.050
73  36 0.139300  0.045
74  37 0.139700  0.041
75  37 0.140100  0.037
76  41 0.140500  0.034
77  42 0.141000  0.031
78  41 0.141400  0.028
79  41 0.141800  0.026
80  42 0.142100  0.024
81  45 0.142400  0.021
82  43 0.142600  0.020
83  44 0.142800  0.018
84  45 0.143000  0.016
85  45 0.143200  0.015
86  45 0.143400  0.013
87  47 0.143600  0.012
88  49 0.143800  0.011
89  49 0.143900  0.010
90  49 0.144000  0.009
91  50 0.144100  0.008
92  51 0.144200  0.008
93  54 0.144300  0.007
94  54 0.144400  0.006
95  53 0.144500  0.006
96  54 0.144500  0.005
97  54 0.144600  0.005
98  55 0.144600  0.004
99  56 0.144600  0.004
100 56 0.144700  0.004
