
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 0.77840
2     2 0.005852 0.70930
3     5 0.016850 0.64630
4     7 0.031080 0.58880
5     9 0.045400 0.53650
6    12 0.058010 0.48890
7    12 0.069270 0.44540
8    12 0.078760 0.40590
9    13 0.086760 0.36980
10   13 0.093510 0.33700
11   13 0.099190 0.30700
12   13 0.104000 0.27980
13   14 0.108100 0.25490
14   15 0.111600 0.23230
15   15 0.114600 0.21160
16   13 0.117100 0.19280
17   14 0.119200 0.17570
18   14 0.121000 0.16010
19   14 0.122500 0.14590
20   14 0.123700 0.13290
21   14 0.124700 0.12110
22   14 0.125600 0.11030
23   14 0.126300 0.10050
24   14 0.126900 0.09161
25   14 0.127400 0.08347
26   14 0.127900 0.07605
27   15 0.128300 0.06930
28   15 0.129200 0.06314
29   15 0.129900 0.05753
30   15 0.130500 0.05242
31   14 0.131000 0.04776
32   15 0.131400 0.04352
33   15 0.131700 0.03965
34   16 0.132100 0.03613
35   16 0.132800 0.03292
36   18 0.133400 0.03000
37   18 0.133900 0.02733
38   19 0.134400 0.02490
39   20 0.134800 0.02269
40   22 0.135200 0.02068
41   23 0.135700 0.01884
42   24 0.136300 0.01717
43   24 0.136800 0.01564
44   25 0.137400 0.01425
45   24 0.138000 0.01298
46   25 0.138400 0.01183
47   25 0.138800 0.01078
48   30 0.139200 0.00982
49   31 0.139700 0.00895
50   31 0.140300 0.00816
51   32 0.140600 0.00743
52   32 0.141000 0.00677
53   32 0.141400 0.00617
54   33 0.141700 0.00562
55   38 0.142000 0.00512
56   36 0.142300 0.00467
57   36 0.142600 0.00425
58   36 0.142800 0.00387
59   41 0.143000 0.00353
60   42 0.143200 0.00322
61   43 0.143300 0.00293
62   44 0.143500 0.00267
63   49 0.143600 0.00243
64   51 0.143700 0.00222
65   61 0.143800 0.00202
66   52 0.143900 0.00184
67   54 0.144000 0.00168
68   54 0.144000 0.00153
69   63 0.144100 0.00139
70   62 0.144200 0.00127
71   62 0.144200 0.00116
72   63 0.144300 0.00105
73   64 0.144300 0.00096
74   64 0.144400 0.00087
75   64 0.144500 0.00080
76   74 0.144500 0.00073
77   75 0.144600 0.00066
78   76 0.144700 0.00060
79   77 0.144700 0.00055
80   81 0.144800 0.00050
81   81 0.144800 0.00046
82   82 0.144800 0.00042
83   84 0.144900 0.00038
84   84 0.144900 0.00034
85   85 0.144900 0.00031
86   91 0.144900 0.00029
87   92 0.144900 0.00026
88   93 0.145000 0.00024
89   93 0.145000 0.00022
90   98 0.145000 0.00020
91   98 0.145000 0.00018
92   99 0.145000 0.00016
93  101 0.145100 0.00015
94  105 0.145100 0.00014
95  108 0.145100 0.00012
96  109 0.145100 0.00011
97  108 0.145100 0.00010
98  108 0.145100 0.00009
99  107 0.145100 0.00009
100 107 0.145100 0.00008
