
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 21.5300
2    1 0.004533 19.6100
3    1 0.008296 17.8700
4    1 0.011420 16.2800
5    1 0.014020 14.8400
6    1 0.016170 13.5200
7    1 0.017960 12.3200
8    1 0.019450 11.2200
9    1 0.020680 10.2300
10   1 0.021700  9.3190
11   1 0.022550  8.4910
12   1 0.023260  7.7370
13   1 0.023840  7.0490
14   1 0.024330  6.4230
15   1 0.024740  5.8520
16   1 0.025070  5.3320
17   1 0.025350  4.8590
18   2 0.025690  4.4270
19   2 0.026260  4.0340
20   2 0.026740  3.6750
21   2 0.027140  3.3490
22   2 0.027470  3.0510
23   2 0.027740  2.7800
24   2 0.027970  2.5330
25   3 0.028160  2.3080
26   4 0.031270  2.1030
27   4 0.034190  1.9160
28   4 0.036620  1.7460
29   4 0.038640  1.5910
30   4 0.040310  1.4500
31   5 0.041930  1.3210
32   6 0.043490  1.2040
33   6 0.044750  1.0970
34   6 0.045850  0.9992
35   6 0.046770  0.9104
36   7 0.047810  0.8296
37   8 0.049440  0.7559
38   8 0.050790  0.6887
39   8 0.051900  0.6275
40   8 0.052830  0.5718
41   9 0.054130  0.5210
42   9 0.055350  0.4747
43  10 0.056370  0.4325
44   9 0.057380  0.3941
45   9 0.058230  0.3591
46   9 0.058950  0.3272
47  11 0.059780  0.2981
48  12 0.060870  0.2716
49  12 0.061750  0.2475
50  13 0.062500  0.2255
51  14 0.066990  0.2055
52  15 0.071010  0.1872
53  19 0.079480  0.1706
54  19 0.088550  0.1554
55  19 0.096090  0.1416
56  20 0.102500  0.1291
57  22 0.108000  0.1176
58  23 0.112700  0.1071
59  27 0.117000  0.0976
60  27 0.120700  0.0890
61  27 0.123900  0.0810
62  29 0.126500  0.0738
63  29 0.128700  0.0673
64  29 0.130600  0.0613
65  30 0.132300  0.0559
66  30 0.133800  0.0509
67  31 0.135100  0.0464
68  31 0.136300  0.0423
69  31 0.137200  0.0385
70  33 0.138000  0.0351
71  35 0.138700  0.0320
72  35 0.139300  0.0291
73  36 0.139900  0.0265
74  38 0.140200  0.0242
75  37 0.140600  0.0220
76  41 0.140900  0.0201
77  42 0.141300  0.0183
78  41 0.141700  0.0167
79  41 0.142000  0.0152
80  41 0.142300  0.0138
81  40 0.142500  0.0126
82  40 0.142800  0.0115
83  43 0.143000  0.0105
84  44 0.143200  0.0095
85  45 0.143400  0.0087
86  45 0.143500  0.0079
87  47 0.143700  0.0072
88  48 0.143800  0.0066
89  49 0.144000  0.0060
90  48 0.144200  0.0055
91  49 0.144200  0.0050
92  51 0.144300  0.0045
93  51 0.144400  0.0041
94  51 0.144400  0.0038
95  51 0.144500  0.0034
96  52 0.144600  0.0031
97  54 0.144600  0.0028
98  56 0.144600  0.0026
99  56 0.144700  0.0024
100 57 0.144700  0.0022
