
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = FALSE) 

   Df     %Dev Lambda
1   0 0.000000 7.0660
2   2 0.007909 6.4380
3   2 0.014570 5.8660
4   2 0.020100 5.3450
5   2 0.024700 4.8700
6   2 0.028510 4.4380
7   2 0.031680 4.0430
8   2 0.034310 3.6840
9   2 0.036500 3.3570
10  2 0.038320 3.0590
11  4 0.040370 2.7870
12  4 0.042710 2.5390
13  6 0.046160 2.3140
14  6 0.049540 2.1080
15  6 0.052350 1.9210
16  6 0.054690 1.7500
17  6 0.056630 1.5950
18  6 0.058240 1.4530
19  7 0.059580 1.3240
20  7 0.060700 1.2060
21  7 0.061620 1.0990
22  8 0.062710 1.0020
23  8 0.064560 0.9126
24  8 0.066650 0.8315
25  8 0.068380 0.7577
26  8 0.069810 0.6904
27  8 0.071010 0.6290
28  9 0.072160 0.5732
29  9 0.073250 0.5222
30  9 0.074140 0.4758
31 10 0.074920 0.4336
32 10 0.075650 0.3951
33 10 0.076250 0.3600
34 11 0.076770 0.3280
35 11 0.077310 0.2988
36 11 0.077730 0.2723
37 13 0.081270 0.2481
38 13 0.089610 0.2261
39 15 0.097050 0.2060
40 16 0.103600 0.1877
41 15 0.109300 0.1710
42 16 0.114400 0.1558
43 15 0.118700 0.1420
44 17 0.122300 0.1294
45 17 0.125600 0.1179
46 19 0.128500 0.1074
47 18 0.131100 0.0979
48 19 0.133300 0.0892
49 21 0.135200 0.0812
50 21 0.137000 0.0740
51 22 0.138400 0.0674
52 22 0.139700 0.0615
53 23 0.140700 0.0560
54 23 0.141600 0.0510
55 23 0.142300 0.0465
56 24 0.143000 0.0424
57 24 0.143600 0.0386
58 23 0.144100 0.0352
59 23 0.144500 0.0320
60 22 0.144800 0.0292
61 22 0.145100 0.0266
62 22 0.145300 0.0242
63 24 0.145500 0.0221
64 25 0.145700 0.0201
65 25 0.145800 0.0183
66 26 0.145900 0.0167
67 26 0.146000 0.0152
68 27 0.146100 0.0139
69 29 0.146200 0.0126
70 30 0.146300 0.0115
71 31 0.146400 0.0105
72 31 0.146500 0.0096
73 31 0.146500 0.0087
74 33 0.146600 0.0079
75 33 0.146600 0.0072
76 33 0.146600 0.0066
77 34 0.146600 0.0060
78 34 0.146700 0.0055
79 34 0.146700 0.0050
80 35 0.146700 0.0045
81 35 0.146700 0.0041
82 36 0.146700 0.0038
83 37 0.146800 0.0034
84 37 0.146800 0.0031
85 37 0.146800 0.0029
86 38 0.146800 0.0026
87 41 0.146800 0.0024
88 43 0.146800 0.0022
89 42 0.146800 0.0020
90 44 0.146800 0.0018
91 45 0.146800 0.0016
92 45 0.146800 0.0015
93 45 0.146800 0.0014
94 45 0.146800 0.0012
95 45 0.146800 0.0011
96 46 0.146800 0.0010
97 46 0.146800 0.0009
98 46 0.146800 0.0009
99 46 0.146800 0.0008
