
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = TRUE) 

   Df    %Dev  Lambda
1   0 0.00000 0.60010
2   2 0.01247 0.54680
3   3 0.02872 0.49820
4   5 0.04418 0.45390
5   6 0.05817 0.41360
6   6 0.07003 0.37690
7   7 0.08016 0.34340
8   8 0.08922 0.31290
9  10 0.09695 0.28510
10 10 0.10380 0.25980
11 11 0.11010 0.23670
12 11 0.11520 0.21570
13 11 0.11950 0.19650
14 10 0.12310 0.17900
15 11 0.12610 0.16310
16 13 0.12860 0.14860
17 13 0.13080 0.13540
18 13 0.13260 0.12340
19 16 0.13420 0.11240
20 17 0.13560 0.10250
21 17 0.13670 0.09335
22 17 0.13770 0.08506
23 17 0.13850 0.07750
24 16 0.13920 0.07062
25 16 0.13970 0.06434
26 14 0.14010 0.05863
27 15 0.14040 0.05342
28 15 0.14070 0.04867
29 15 0.14100 0.04435
30 15 0.14120 0.04041
31 15 0.14130 0.03682
32 15 0.14150 0.03355
33 15 0.14160 0.03057
34 16 0.14170 0.02785
35 16 0.14210 0.02538
36 18 0.14250 0.02312
37 18 0.14300 0.02107
38 17 0.14350 0.01920
39 18 0.14380 0.01749
40 17 0.14410 0.01594
41 19 0.14430 0.01452
42 20 0.14460 0.01323
43 20 0.14490 0.01206
44 20 0.14520 0.01099
45 19 0.14540 0.01001
46 21 0.14550 0.00912
47 22 0.14570 0.00831
48 22 0.14580 0.00757
49 25 0.14600 0.00690
50 25 0.14610 0.00629
51 24 0.14620 0.00573
52 24 0.14630 0.00522
53 24 0.14640 0.00475
54 24 0.14650 0.00433
55 24 0.14650 0.00395
56 25 0.14660 0.00360
57 27 0.14660 0.00328
58 30 0.14660 0.00299
59 31 0.14670 0.00272
60 31 0.14670 0.00248
61 31 0.14670 0.00226
62 32 0.14670 0.00206
63 34 0.14670 0.00188
64 34 0.14670 0.00171
65 34 0.14670 0.00156
66 34 0.14680 0.00142
67 34 0.14680 0.00129
68 34 0.14680 0.00118
69 35 0.14680 0.00107
70 37 0.14680 0.00098
71 38 0.14680 0.00089
72 38 0.14680 0.00081
73 38 0.14680 0.00074
74 38 0.14680 0.00067
75 38 0.14680 0.00061
76 39 0.14680 0.00056
77 39 0.14680 0.00051
78 39 0.14680 0.00046
79 39 0.14680 0.00042
80 39 0.14680 0.00039
