
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 521.30
2    1 0.004001 475.00
3    1 0.007527 432.80
4    1 0.010620 394.30
5    1 0.013330 359.30
6    1 0.015680 327.40
7    1 0.017720 298.30
8    1 0.019490 271.80
9    2 0.021070 247.70
10   2 0.022420 225.70
11   3 0.024600 205.60
12   3 0.027080 187.30
13   4 0.029310 170.70
14   5 0.032200 155.50
15   6 0.035610 141.70
16   6 0.038690 129.10
17   5 0.041390 117.70
18   6 0.043980 107.20
19   7 0.046480  97.68
20   8 0.049490  89.01
21   9 0.052230  81.10
22  11 0.054910  73.89
23  12 0.057610  67.33
24  13 0.060130  61.35
25  17 0.062730  55.90
26  16 0.065410  50.93
27  16 0.067680  46.41
28  17 0.069860  42.28
29  18 0.071820  38.53
30  18 0.073600  35.11
31  18 0.075160  31.99
32  18 0.076540  29.15
33  18 0.077760  26.56
34  18 0.078840  24.20
35  18 0.079800  22.05
36  19 0.080710  20.09
37  19 0.081660  18.30
38  19 0.082520  16.68
39  19 0.083530  15.20
40  22 0.085360  13.85
41  24 0.087440  12.62
42  26 0.089370  11.50
43  25 0.091060  10.47
44  25 0.092560   9.54
45  26 0.093920   8.70
46  26 0.095090   7.92
47  26 0.096160   7.22
48  27 0.097370   6.58
49  29 0.098490   5.99
50  34 0.099810   5.46
51  36 0.101200   4.98
52  37 0.102700   4.53
53  38 0.104200   4.13
54  41 0.105800   3.76
55  43 0.107700   3.43
56  43 0.109500   3.12
57  44 0.111500   2.85
58  43 0.113400   2.60
59  43 0.115400   2.36
60  44 0.117500   2.15
61  45 0.119500   1.96
62  48 0.121700   1.79
63  48 0.123900   1.63
64  49 0.126200   1.49
65  51 0.128600   1.35
66  52 0.131100   1.23
67  53 0.133500   1.12
68  53 0.136100   1.02
69  55 0.138600   0.93
70  57 0.141200   0.85
71  60 0.143800   0.77
72  61 0.146400   0.71
73  62 0.149000   0.64
74  65 0.151700   0.59
75  66 0.154300   0.53
76  68 0.156800   0.49
77  68 0.159300   0.44
78  68 0.161800   0.40
79  70 0.164100   0.37
80  72 0.166400   0.34
81  75 0.168600   0.31
82  76 0.170700   0.28
83  76 0.172700   0.25
84  77 0.174600   0.23
85  77 0.176400   0.21
86  78 0.178100   0.19
87  80 0.179700   0.17
88  80 0.181100   0.16
89  81 0.182500   0.15
90  81 0.183800   0.13
91  83 0.184900   0.12
92  83 0.185900   0.11
93  82 0.186900   0.10
94  81 0.187700   0.09
95  85 0.188500   0.08
96  88 0.189200   0.08
97  89 0.189800   0.07
98  93 0.190400   0.06
99  95 0.190800   0.06
100 95 0.191300   0.05
