
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 14.7900
2    3 0.001419 13.4700
3    8 0.004427 12.2800
4   21 0.010550 11.1900
5   26 0.017670 10.1900
6   34 0.024830  9.2870
7   45 0.033610  8.4620
8   55 0.043320  7.7100
9   74 0.053070  7.0250
10  80 0.062610  6.4010
11  84 0.071770  5.8330
12  87 0.080350  5.3140
13  89 0.088400  4.8420
14  89 0.095900  4.4120
15  91 0.102900  4.0200
16  88 0.109500  3.6630
17  89 0.115700  3.3380
18  90 0.121500  3.0410
19  87 0.127000  2.7710
20  87 0.132100  2.5250
21  87 0.136900  2.3000
22  88 0.141300  2.0960
23  87 0.145500  1.9100
24  82 0.149400  1.7400
25  81 0.153000  1.5860
26  75 0.156400  1.4450
27  75 0.159400  1.3160
28  75 0.162300  1.1990
29  73 0.164800  1.0930
30  69 0.167200  0.9958
31  65 0.169300  0.9074
32  64 0.171300  0.8268
33  63 0.173000  0.7533
34  62 0.174700  0.6864
35  60 0.176200  0.6254
36  58 0.177500  0.5698
37  55 0.178800  0.5192
38  53 0.180000  0.4731
39  53 0.181200  0.4311
40  51 0.182200  0.3928
41  53 0.183300  0.3579
42  55 0.184300  0.3261
43  57 0.185200  0.2971
44  58 0.186100  0.2707
45  57 0.186900  0.2467
46  57 0.187600  0.2248
47  59 0.188300  0.2048
48  62 0.188900  0.1866
49  65 0.189400  0.1700
50  65 0.189900  0.1549
51  66 0.190400  0.1412
52  67 0.190800  0.1286
53  71 0.191100  0.1172
54  71 0.191500  0.1068
55  72 0.191800  0.0973
56  74 0.192000  0.0887
57  75 0.192300  0.0808
58  75 0.192500  0.0736
59  75 0.192600  0.0671
60  78 0.192800  0.0611
61  78 0.192900  0.0557
62  81 0.193100  0.0507
63  82 0.193200  0.0462
64  85 0.193300  0.0421
65  86 0.193400  0.0384
66  86 0.193500  0.0350
67  88 0.193500  0.0319
68  90 0.193600  0.0290
69  92 0.193600  0.0264
70  92 0.193700  0.0241
71  91 0.193700  0.0220
72  91 0.193700  0.0200
73  91 0.193800  0.0182
74  95 0.193800  0.0166
75  98 0.193800  0.0151
76 101 0.193800  0.0138
77 103 0.193800  0.0126
78 105 0.193900  0.0114
79 105 0.193900  0.0104
80 105 0.193900  0.0095
81 106 0.193900  0.0087
82 108 0.193900  0.0079
83 111 0.193900  0.0072
84 113 0.193900  0.0066
85 115 0.193900  0.0060
86 114 0.193900  0.0054
87 114 0.193900  0.0050
88 115 0.193900  0.0045
89 116 0.193900  0.0041
90 118 0.193900  0.0037
91 119 0.193900  0.0034
92 119 0.193900  0.0031
93 120 0.193900  0.0028
94 120 0.193900  0.0026
