
Call:  glmnet(x = x, y = y, alpha = 0.75, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.59150
2   1 0.006897 0.53900
3   2 0.014440 0.49110
4   3 0.024820 0.44750
5   3 0.034360 0.40770
6   6 0.045220 0.37150
7  10 0.060780 0.33850
8  13 0.078310 0.30840
9  13 0.093920 0.28100
10 14 0.107000 0.25600
11 16 0.118200 0.23330
12 17 0.127700 0.21260
13 19 0.136400 0.19370
14 25 0.144300 0.17650
15 33 0.151300 0.16080
16 33 0.157400 0.14650
17 31 0.162300 0.13350
18 32 0.166200 0.12160
19 31 0.169400 0.11080
20 31 0.172000 0.10100
21 32 0.174300 0.09202
22 32 0.176300 0.08384
23 30 0.177900 0.07640
24 30 0.179200 0.06961
25 30 0.180300 0.06343
26 30 0.181300 0.05779
27 30 0.182000 0.05266
28 31 0.182700 0.04798
29 31 0.183200 0.04372
30 31 0.183700 0.03983
31 30 0.184000 0.03629
32 31 0.184400 0.03307
33 30 0.184900 0.03013
34 31 0.185500 0.02746
35 32 0.186100 0.02502
36 34 0.186900 0.02279
37 35 0.187800 0.02077
38 37 0.188500 0.01892
39 38 0.189100 0.01724
40 38 0.189600 0.01571
41 40 0.190100 0.01432
42 41 0.190500 0.01304
43 43 0.190800 0.01188
44 47 0.191200 0.01083
45 47 0.191500 0.00987
46 49 0.191700 0.00899
47 51 0.192000 0.00819
48 50 0.192200 0.00746
49 51 0.192400 0.00680
50 50 0.192600 0.00620
51 51 0.192800 0.00565
52 54 0.192900 0.00514
53 55 0.193100 0.00469
54 55 0.193200 0.00427
55 56 0.193300 0.00389
56 56 0.193400 0.00355
57 56 0.193500 0.00323
58 56 0.193500 0.00294
59 55 0.193600 0.00268
60 57 0.193600 0.00244
61 58 0.193700 0.00223
62 59 0.193700 0.00203
63 59 0.193700 0.00185
64 64 0.193700 0.00168
65 64 0.193800 0.00154
66 64 0.193800 0.00140
67 66 0.193800 0.00127
68 65 0.193800 0.00116
69 67 0.193800 0.00106
70 70 0.193800 0.00096
71 73 0.193900 0.00088
72 75 0.193900 0.00080
73 76 0.193900 0.00073
74 77 0.193900 0.00066
75 77 0.193900 0.00061
76 79 0.193900 0.00055
77 80 0.193900 0.00050
78 81 0.193900 0.00046
79 81 0.193900 0.00042
80 82 0.193900 0.00038
81 86 0.193900 0.00035
82 89 0.193900 0.00032
83 90 0.193900 0.00029
84 93 0.193900 0.00026
85 95 0.193900 0.00024
86 94 0.193900 0.00022
87 94 0.193900 0.00020
