
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 13.0300
2    1 0.005031 11.8700
3    1 0.009209 10.8200
4    1 0.012680  9.8590
5    1 0.015560  8.9830
6    1 0.017950  8.1850
7    1 0.019940  7.4580
8    1 0.021590  6.7950
9    1 0.022960  6.1920
10   1 0.024100  5.6420
11   2 0.025570  5.1400
12   2 0.028680  4.6840
13   2 0.031260  4.2680
14   3 0.034240  3.8880
15   3 0.038040  3.5430
16   3 0.041200  3.2280
17   3 0.043820  2.9410
18   4 0.046090  2.6800
19   4 0.048170  2.4420
20   5 0.051500  2.2250
21   6 0.054720  2.0270
22   7 0.057430  1.8470
23   8 0.059820  1.6830
24   9 0.062230  1.5340
25   9 0.064350  1.3970
26  11 0.066840  1.2730
27  12 0.069120  1.1600
28  14 0.071190  1.0570
29  16 0.073610  0.9632
30  15 0.075830  0.8776
31  15 0.077640  0.7997
32  15 0.079110  0.7286
33  15 0.080340  0.6639
34  15 0.081350  0.6049
35  14 0.082190  0.5512
36  15 0.082920  0.5022
37  13 0.083680  0.4576
38  14 0.084510  0.4169
39  17 0.086470  0.3799
40  18 0.088760  0.3462
41  19 0.090840  0.3154
42  19 0.092690  0.2874
43  19 0.094230  0.2619
44  19 0.095500  0.2386
45  19 0.096560  0.2174
46  19 0.097450  0.1981
47  23 0.098300  0.1805
48  23 0.103600  0.1645
49  25 0.108100  0.1498
50  26 0.113600  0.1365
51  27 0.120000  0.1244
52  27 0.126000  0.1134
53  31 0.133200  0.1033
54  32 0.141200  0.0941
55  32 0.149100  0.0858
56  33 0.155800  0.0781
57  35 0.161400  0.0712
58  35 0.166200  0.0649
59  36 0.170300  0.0591
60  35 0.173700  0.0538
61  36 0.176700  0.0491
62  36 0.179200  0.0447
63  38 0.181300  0.0407
64  40 0.183200  0.0371
65  40 0.184800  0.0338
66  43 0.186100  0.0308
67  45 0.187300  0.0281
68  48 0.188300  0.0256
69  50 0.189100  0.0233
70  50 0.189900  0.0212
71  52 0.190500  0.0194
72  53 0.191000  0.0176
73  57 0.191500  0.0161
74  58 0.191900  0.0146
75  58 0.192200  0.0133
76  60 0.192500  0.0122
77  61 0.192700  0.0111
78  65 0.192800  0.0101
79  67 0.193000  0.0092
80  67 0.193200  0.0084
81  68 0.193300  0.0076
82  69 0.193400  0.0070
83  70 0.193500  0.0063
84  71 0.193600  0.0058
85  70 0.193600  0.0053
86  72 0.193600  0.0048
87  73 0.193700  0.0044
88  75 0.193700  0.0040
89  75 0.193700  0.0036
90  77 0.193800  0.0033
91  78 0.193800  0.0030
92  79 0.193800  0.0027
93  80 0.193800  0.0025
94  81 0.193800  0.0023
95  80 0.193900  0.0021
96  80 0.193900  0.0019
97  82 0.193900  0.0017
98  82 0.193900  0.0016
99  85 0.193900  0.0014
100 89 0.193900  0.0013
