
Call:  glmnet(x = x, y = y, alpha = 0.02, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 511.50
2    2 0.007367 466.00
3    2 0.015020 424.60
4    3 0.022170 386.90
5    3 0.028400 352.50
6    3 0.033790 321.20
7    3 0.038430 292.70
8    3 0.042410 266.70
9    3 0.045830 243.00
10   3 0.048750 221.40
11   3 0.051250 201.70
12   3 0.053380 183.80
13   3 0.055200 167.50
14   3 0.056750 152.60
15   3 0.058070 139.00
16   3 0.059200 126.70
17   3 0.060160 115.40
18   3 0.060980 105.20
19   3 0.061680  95.84
20   3 0.062280  87.32
21   4 0.063120  79.57
22   4 0.063970  72.50
23   5 0.064870  66.06
24   5 0.065860  60.19
25   5 0.066740  54.84
26   5 0.067530  49.97
27   5 0.068220  45.53
28   5 0.068820  41.49
29   5 0.069360  37.80
30   6 0.069880  34.44
31   7 0.070440  31.38
32   7 0.071010  28.59
33   7 0.071500  26.05
34   8 0.071950  23.74
35   9 0.072380  21.63
36   9 0.073060  19.71
37   9 0.073700  17.96
38   9 0.074300  16.36
39   9 0.074870  14.91
40  10 0.075410  13.58
41  10 0.075940  12.38
42  11 0.076470  11.28
43  10 0.077000  10.28
44  11 0.077570   9.36
45  10 0.078180   8.53
46  10 0.078790   7.77
47  11 0.079420   7.08
48  11 0.080090   6.45
49  13 0.080820   5.88
50  13 0.081850   5.36
51  14 0.082940   4.88
52  13 0.084040   4.45
53  14 0.085240   4.05
54  14 0.086320   3.69
55  14 0.087550   3.37
56  14 0.088660   3.07
57  14 0.089910   2.79
58  14 0.091100   2.55
59  14 0.092380   2.32
60  16 0.093660   2.11
61  16 0.095040   1.93
62  16 0.096430   1.75
63  16 0.097810   1.60
64  17 0.099320   1.46
65  17 0.100900   1.33
66  19 0.102400   1.21
67  21 0.104000   1.10
68  22 0.105700   1.00
69  22 0.107300   0.91
70  22 0.109000   0.83
71  22 0.110700   0.76
72  23 0.112300   0.69
73  24 0.114000   0.63
74  24 0.115600   0.57
75  24 0.117200   0.52
76  25 0.118700   0.48
77  25 0.120200   0.43
78  26 0.121600   0.40
79  27 0.123000   0.36
80  28 0.124300   0.33
81  28 0.125600   0.30
82  28 0.126700   0.27
83  28 0.127800   0.25
84  28 0.128800   0.23
85  28 0.129800   0.21
86  29 0.130700   0.19
87  29 0.131500   0.17
88  30 0.132200   0.16
89  30 0.132800   0.14
90  31 0.133400   0.13
91  31 0.133900   0.12
92  31 0.134400   0.11
93  31 0.134800   0.10
94  32 0.135200   0.09
95  32 0.135500   0.08
96  33 0.135800   0.07
97  33 0.136000   0.07
98  33 0.136200   0.06
99  33 0.136400   0.06
100 33 0.136600   0.05
