
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 97.390
2     2 0.003565 88.740
3     2 0.007463 80.860
4     2 0.010780 73.670
5     2 0.013600 67.130
6     3 0.017030 61.170
7     4 0.020500 55.730
8     5 0.024090 50.780
9     6 0.027180 46.270
10    6 0.029900 42.160
11    6 0.032190 38.410
12    7 0.034440 35.000
13    8 0.037030 31.890
14    8 0.039610 29.060
15    8 0.041820 26.480
16    9 0.043700 24.130
17   12 0.045620 21.980
18   12 0.047830 20.030
19   11 0.049760 18.250
20   13 0.051550 16.630
21   15 0.053170 15.150
22   17 0.054750 13.810
23   19 0.056590 12.580
24   18 0.058360 11.460
25   20 0.060040 10.440
26   21 0.062030  9.515
27   20 0.063680  8.670
28   22 0.065190  7.900
29   23 0.066550  7.198
30   21 0.067740  6.559
31   22 0.068800  5.976
32   20 0.069830  5.445
33   20 0.070710  4.961
34   21 0.071470  4.521
35   22 0.072320  4.119
36   23 0.073170  3.753
37   24 0.074260  3.420
38   26 0.075280  3.116
39   28 0.077520  2.839
40   32 0.079810  2.587
41   34 0.082830  2.357
42   38 0.086360  2.148
43   39 0.090530  1.957
44   44 0.094700  1.783
45   45 0.099070  1.625
46   49 0.103400  1.480
47   51 0.107800  1.349
48   56 0.112100  1.229
49   60 0.116400  1.120
50   60 0.120500  1.020
51   61 0.124400  0.930
52   59 0.128300  0.847
53   62 0.131800  0.772
54   64 0.135300  0.703
55   67 0.138800  0.641
56   67 0.142100  0.584
57   68 0.145200  0.532
58   71 0.148100  0.485
59   75 0.150900  0.442
60   76 0.153500  0.402
61   77 0.155900  0.367
62   75 0.158100  0.334
63   75 0.160100  0.304
64   78 0.161900  0.277
65   78 0.163600  0.253
66   79 0.165100  0.230
67   79 0.166500  0.210
68   77 0.167700  0.191
69   79 0.168800  0.174
70   81 0.169800  0.159
71   82 0.170600  0.145
72   84 0.171400  0.132
73   85 0.172100  0.120
74   87 0.172700  0.109
75   89 0.173200  0.100
76   88 0.173700  0.091
77   93 0.174100  0.083
78   95 0.174400  0.075
79   95 0.174700  0.069
80   95 0.175000  0.063
81   98 0.175200  0.057
82   99 0.175400  0.052
83  102 0.175600  0.047
84  106 0.175800  0.043
85  107 0.175900  0.039
86  108 0.176000  0.036
87  110 0.176100  0.033
88  111 0.176200  0.030
89  114 0.176300  0.027
90  113 0.176300  0.025
91  113 0.176400  0.022
92  113 0.176400  0.020
93  113 0.176400  0.019
94  114 0.176500  0.017
95  114 0.176500  0.016
96  115 0.176500  0.014
97  115 0.176600  0.013
98  117 0.176600  0.012
99  117 0.176600  0.011
100 118 0.176600  0.010
