
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 2.58200
2    1 0.003234 2.35300
3    3 0.006566 2.14400
4    5 0.015720 1.95300
5    9 0.027030 1.78000
6   20 0.039940 1.62200
7   27 0.054140 1.47700
8   30 0.067560 1.34600
9   36 0.079580 1.22700
10  38 0.090320 1.11800
11  44 0.100000 1.01800
12  46 0.108700 0.92790
13  47 0.116400 0.84550
14  48 0.123000 0.77040
15  50 0.128800 0.70190
16  50 0.133900 0.63960
17  49 0.138200 0.58280
18  49 0.141900 0.53100
19  50 0.145100 0.48380
20  51 0.147900 0.44080
21  52 0.150300 0.40170
22  51 0.152300 0.36600
23  49 0.154100 0.33350
24  47 0.155500 0.30380
25  46 0.156700 0.27690
26  44 0.157800 0.25230
27  42 0.158600 0.22990
28  40 0.159400 0.20940
29  39 0.160000 0.19080
30  38 0.160500 0.17390
31  40 0.161000 0.15840
32  40 0.161600 0.14440
33  42 0.162400 0.13150
34  41 0.163000 0.11980
35  44 0.163700 0.10920
36  44 0.164500 0.09950
37  47 0.165400 0.09066
38  50 0.166300 0.08260
39  51 0.167100 0.07527
40  55 0.168000 0.06858
41  57 0.168800 0.06249
42  58 0.169600 0.05694
43  59 0.170300 0.05188
44  61 0.171000 0.04727
45  62 0.171600 0.04307
46  63 0.172100 0.03924
47  65 0.172600 0.03576
48  69 0.173100 0.03258
49  71 0.173500 0.02969
50  74 0.173900 0.02705
51  78 0.174200 0.02465
52  78 0.174500 0.02246
53  80 0.174800 0.02046
54  84 0.175000 0.01864
55  87 0.175200 0.01699
56  89 0.175400 0.01548
57  89 0.175600 0.01410
58  88 0.175700 0.01285
59  90 0.175900 0.01171
60  92 0.175900 0.01067
61  94 0.176000 0.00972
62  96 0.176100 0.00886
63  97 0.176200 0.00807
64  97 0.176300 0.00735
65 101 0.176300 0.00670
66 103 0.176300 0.00610
67 104 0.176400 0.00556
68 105 0.176400 0.00507
69 105 0.176400 0.00462
70 104 0.176500 0.00421
71 106 0.176500 0.00383
72 109 0.176500 0.00349
73 113 0.176500 0.00318
74 115 0.176600 0.00290
75 116 0.176600 0.00264
76 117 0.176600 0.00241
77 118 0.176600 0.00219
78 118 0.176600 0.00200
79 119 0.176600 0.00182
80 121 0.176600 0.00166
81 123 0.176600 0.00151
82 125 0.176600 0.00138
83 128 0.176600 0.00126
84 131 0.176600 0.00114
85 133 0.176600 0.00104
86 135 0.176600 0.00095
87 135 0.176600 0.00087
88 137 0.176600 0.00079
89 137 0.176600 0.00072
90 137 0.176700 0.00065
91 138 0.176700 0.00060
92 138 0.176700 0.00054
93 138 0.176700 0.00050
