
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 5.4110
2     2 0.003920 4.9300
3     2 0.008117 4.4920
4     2 0.011600 4.0930
5     2 0.014500 3.7290
6     3 0.017920 3.3980
7     3 0.021520 3.0960
8     4 0.024590 2.8210
9     5 0.027820 2.5710
10    5 0.030760 2.3420
11    5 0.033190 2.1340
12    6 0.035300 1.9450
13    6 0.037740 1.7720
14    7 0.040320 1.6140
15    7 0.042500 1.4710
16    7 0.044310 1.3400
17    9 0.046120 1.2210
18   10 0.048240 1.1130
19   11 0.050330 1.0140
20   12 0.052120 0.9238
21   12 0.053850 0.8417
22   15 0.055490 0.7670
23   16 0.057700 0.6988
24   15 0.059460 0.6367
25   16 0.060930 0.5802
26   20 0.062770 0.5286
27   20 0.064700 0.4817
28   19 0.066270 0.4389
29   19 0.067650 0.3999
30   19 0.068790 0.3644
31   20 0.069750 0.3320
32   19 0.070830 0.3025
33   19 0.071660 0.2756
34   19 0.072350 0.2511
35   20 0.073080 0.2288
36   22 0.074010 0.2085
37   22 0.075160 0.1900
38   23 0.076300 0.1731
39   24 0.087360 0.1577
40   31 0.096930 0.1437
41   31 0.105400 0.1309
42   34 0.112700 0.1193
43   38 0.120000 0.1087
44   40 0.127600 0.0991
45   42 0.134700 0.0903
46   44 0.140700 0.0822
47   48 0.145800 0.0749
48   49 0.150300 0.0683
49   53 0.154200 0.0622
50   56 0.157400 0.0567
51   57 0.160100 0.0516
52   56 0.162400 0.0471
53   59 0.164300 0.0429
54   58 0.166100 0.0391
55   61 0.167600 0.0356
56   61 0.168900 0.0324
57   62 0.170100 0.0296
58   63 0.171000 0.0269
59   66 0.171800 0.0245
60   66 0.172500 0.0224
61   68 0.172900 0.0204
62   71 0.173600 0.0186
63   72 0.174100 0.0169
64   71 0.174400 0.0154
65   71 0.174700 0.0140
66   73 0.175000 0.0128
67   75 0.175200 0.0117
68   76 0.175400 0.0106
69   78 0.175600 0.0097
70   80 0.175700 0.0088
71   81 0.175900 0.0080
72   81 0.176000 0.0073
73   83 0.176100 0.0067
74   86 0.176200 0.0061
75   87 0.176200 0.0055
76   88 0.176300 0.0050
77   90 0.176300 0.0046
78   91 0.176400 0.0042
79   94 0.176400 0.0038
80   93 0.176400 0.0035
81   97 0.176500 0.0032
82   98 0.176500 0.0029
83  100 0.176500 0.0026
84  101 0.176500 0.0024
85  103 0.176500 0.0022
86  105 0.176500 0.0020
87  106 0.176500 0.0018
88  106 0.176600 0.0017
89  108 0.176600 0.0015
90  111 0.176600 0.0014
91  113 0.176600 0.0012
92  114 0.176600 0.0011
93  116 0.176600 0.0010
94  116 0.176600 0.0009
95  117 0.176600 0.0009
96  119 0.176600 0.0008
97  121 0.176600 0.0007
98  122 0.176600 0.0007
99  123 0.176600 0.0006
100 124 0.176600 0.0005
