
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 82.610
2     2 0.003158 75.270
3     2 0.006006 68.580
4     3 0.008856 62.490
5     6 0.012520 56.940
6     6 0.015730 51.880
7     6 0.018440 47.270
8     8 0.021170 43.070
9     8 0.023680 39.250
10    9 0.025800 35.760
11    9 0.027590 32.580
12    9 0.029100 29.690
13    9 0.030380 27.050
14   12 0.031720 24.650
15   12 0.033020 22.460
16   13 0.034360 20.460
17   12 0.035870 18.650
18   13 0.037210 16.990
19   13 0.038380 15.480
20   15 0.039880 14.100
21   19 0.041350 12.850
22   22 0.043000 11.710
23   22 0.044720 10.670
24   22 0.046230  9.722
25   24 0.047790  8.858
26   26 0.049220  8.071
27   25 0.050550  7.354
28   25 0.052190  6.701
29   24 0.053880  6.105
30   28 0.055700  5.563
31   28 0.057620  5.069
32   32 0.059480  4.619
33   34 0.061580  4.208
34   33 0.063310  3.834
35   40 0.066150  3.494
36   44 0.069550  3.183
37   47 0.073440  2.901
38   52 0.077480  2.643
39   56 0.082050  2.408
40   61 0.087370  2.194
41   64 0.093140  1.999
42   65 0.098830  1.822
43   67 0.104500  1.660
44   72 0.110100  1.512
45   75 0.116000  1.378
46   77 0.121900  1.256
47   82 0.127800  1.144
48   88 0.133700  1.042
49   92 0.139800  0.950
50   94 0.145700  0.865
51   95 0.151400  0.788
52   99 0.156900  0.718
53  100 0.162200  0.655
54  105 0.167100  0.596
55  110 0.172000  0.544
56  112 0.176700  0.495
57  114 0.181100  0.451
58  116 0.185300  0.411
59  120 0.189200  0.375
60  119 0.192900  0.341
61  124 0.196300  0.311
62  131 0.199600  0.283
63  132 0.202700  0.258
64  133 0.205600  0.235
65  134 0.208300  0.214
66  140 0.210700  0.195
67  143 0.213000  0.178
68  142 0.215200  0.162
69  145 0.217100  0.148
70  149 0.218900  0.135
71  150 0.220500  0.123
72  153 0.222000  0.112
73  156 0.223400  0.102
74  160 0.224600  0.093
75  163 0.225700  0.085
76  165 0.226800  0.077
77  168 0.227800  0.070
78  166 0.228900  0.064
79  169 0.229800  0.058
80  174 0.230700  0.053
81  177 0.231400  0.048
82  180 0.232200  0.044
83  184 0.232800  0.040
84  185 0.233500  0.037
85  186 0.234000  0.033
86  188 0.234600  0.030
87  191 0.235100  0.028
88  198 0.235500  0.025
89  208 0.236000  0.023
90  213 0.236400  0.021
91  214 0.236800  0.019
92  220 0.237200  0.017
93  221 0.237600  0.016
94  223 0.237900  0.014
95  223 0.238200  0.013
96  230 0.238500  0.012
97  235 0.238800  0.011
98  234 0.239100  0.010
99  237 0.239300  0.009
100 240 0.239500  0.008
