
Call:  glmnet(x = x, y = y, alpha = 0.6, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 6.8840
2     2 0.003448 6.2730
3     2 0.006481 5.7150
4     3 0.009320 5.2080
5     5 0.012880 4.7450
6     6 0.016190 4.3230
7     6 0.018960 3.9390
8     8 0.021540 3.5890
9     8 0.024170 3.2710
10    8 0.026340 2.9800
11    8 0.028150 2.7150
12    7 0.029650 2.4740
13    7 0.030890 2.2540
14    9 0.031990 2.0540
15   10 0.033300 1.8720
16   11 0.034600 1.7050
17   12 0.036130 1.5540
18   12 0.037540 1.4160
19   13 0.038700 1.2900
20   14 0.040320 1.1750
21   14 0.041810 1.0710
22   21 0.043500 0.9758
23   21 0.045340 0.8891
24   21 0.047010 0.8101
25   22 0.048620 0.7382
26   23 0.050040 0.6726
27   23 0.051230 0.6128
28   22 0.053190 0.5584
29   23 0.055190 0.5088
30   26 0.057310 0.4636
31   28 0.059380 0.4224
32   28 0.061260 0.3849
33   29 0.062990 0.3507
34   33 0.064660 0.3195
35   37 0.073370 0.2911
36   43 0.084980 0.2653
37   44 0.097120 0.2417
38   50 0.108200 0.2202
39   51 0.118000 0.2007
40   53 0.127800 0.1828
41   55 0.137300 0.1666
42   60 0.146500 0.1518
43   63 0.154600 0.1383
44   67 0.161900 0.1260
45   70 0.169600 0.1148
46   74 0.176400 0.1046
47   77 0.182400 0.0953
48   80 0.187900 0.0869
49   79 0.193200 0.0792
50   83 0.198200 0.0721
51   86 0.202800 0.0657
52   86 0.206700 0.0599
53   87 0.210000 0.0546
54   87 0.212700 0.0497
55   95 0.215100 0.0453
56   97 0.217300 0.0413
57  100 0.219100 0.0376
58   98 0.220700 0.0343
59  101 0.222000 0.0312
60  104 0.223100 0.0284
61  110 0.224200 0.0259
62  113 0.225100 0.0236
63  116 0.226200 0.0215
64  118 0.227500 0.0196
65  124 0.228700 0.0179
66  127 0.230100 0.0163
67  131 0.231400 0.0148
68  138 0.232600 0.0135
69  141 0.233600 0.0123
70  142 0.234500 0.0112
71  144 0.235400 0.0102
72  144 0.236000 0.0093
73  146 0.236600 0.0085
74  149 0.237100 0.0077
75  150 0.237600 0.0070
76  155 0.237900 0.0064
77  159 0.238300 0.0058
78  169 0.238600 0.0053
79  171 0.239000 0.0049
80  174 0.239300 0.0044
81  179 0.239600 0.0040
82  182 0.239800 0.0037
83  185 0.240000 0.0033
84  188 0.240300 0.0031
85  188 0.240400 0.0028
86  193 0.240600 0.0025
87  195 0.240700 0.0023
88  200 0.240800 0.0021
89  201 0.240900 0.0019
90  208 0.241000 0.0017
91  210 0.241100 0.0016
92  208 0.241100 0.0014
93  208 0.241200 0.0013
94  214 0.241200 0.0012
95  218 0.241300 0.0011
96  220 0.241300 0.0010
97  221 0.241300 0.0009
98  225 0.241300 0.0008
99  225 0.241400 0.0008
100 226 0.241400 0.0007
