
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = TRUE) 

    Df    %Dev Lambda
1   91 0.00000 465.40
2   91 0.01062 424.10
3   91 0.01149 386.40
4   91 0.01241 352.10
5   91 0.01340 320.80
6   91 0.01445 292.30
7   91 0.01556 266.30
8   91 0.01673 242.70
9   91 0.01796 221.10
10  91 0.01925 201.50
11  91 0.02060 183.60
12  91 0.02201 167.30
13  91 0.02348 152.40
14  91 0.02500 138.90
15  91 0.02658 126.50
16  91 0.02821 115.30
17  91 0.02987 105.10
18  91 0.03158  95.72
19  91 0.03333  87.22
20  91 0.03511  79.47
21  91 0.03692  72.41
22  91 0.03877  65.98
23  91 0.04064  60.11
24  91 0.04254  54.77
25  91 0.04446  49.91
26  91 0.04642  45.47
27  91 0.04841  41.43
28  91 0.05043  37.75
29  91 0.05248  34.40
30  91 0.05458  31.34
31  91 0.05672  28.56
32  91 0.05891  26.02
33  91 0.06117  23.71
34  91 0.06348  21.60
35  91 0.06587  19.68
36  91 0.06833  17.94
37  91 0.07087  16.34
38  91 0.07349  14.89
39  91 0.07620  13.57
40  91 0.07901  12.36
41  91 0.08190  11.26
42  91 0.08489  10.26
43  91 0.08796   9.35
44  91 0.09112   8.52
45  91 0.09436   7.76
46  91 0.09766   7.07
47  91 0.10100   6.45
48  91 0.10450   5.87
49  91 0.10790   5.35
50  91 0.11140   4.88
51  91 0.11490   4.44
52  91 0.11840   4.05
53  91 0.12190   3.69
54  91 0.12530   3.36
55  91 0.12860   3.06
56  91 0.13190   2.79
57  91 0.13510   2.54
58  91 0.13820   2.32
59  91 0.14110   2.11
60  91 0.14390   1.92
61  91 0.14660   1.75
62  91 0.14910   1.60
63  91 0.15150   1.46
64  91 0.15370   1.33
65  91 0.15580   1.21
66  91 0.15770   1.10
67  91 0.15940   1.00
68  91 0.16100   0.91
69  91 0.16240   0.83
70  91 0.16370   0.76
71  91 0.16490   0.69
72  91 0.16600   0.63
73  91 0.16690   0.57
74  91 0.16770   0.52
75  91 0.16850   0.48
76  91 0.16910   0.43
77  91 0.16970   0.40
78  91 0.17020   0.36
79  91 0.17060   0.33
80  91 0.17100   0.30
81  91 0.17130   0.27
82  91 0.17160   0.25
83  91 0.17180   0.23
84  91 0.17210   0.21
85  91 0.17220   0.19
86  91 0.17240   0.17
87  91 0.17250   0.16
88  91 0.17260   0.14
89  91 0.17270   0.13
90  91 0.17280   0.12
91  91 0.17290   0.11
92  91 0.17300   0.10
93  91 0.17300   0.09
94  91 0.17310   0.08
95  91 0.17310   0.07
96  91 0.17310   0.07
97  91 0.17320   0.06
98  91 0.17320   0.06
99  91 0.17320   0.05
100 91 0.17320   0.05
