
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 1.03400
2   1 0.006494 0.94240
3   1 0.012190 0.85870
4   1 0.017160 0.78240
5   3 0.024040 0.71290
6   3 0.035640 0.64960
7   5 0.049250 0.59190
8  10 0.063880 0.53930
9  15 0.079340 0.49140
10 18 0.092930 0.44770
11 19 0.104800 0.40800
12 22 0.115000 0.37170
13 23 0.124100 0.33870
14 25 0.131800 0.30860
15 26 0.138400 0.28120
16 27 0.143900 0.25620
17 27 0.148500 0.23340
18 28 0.152400 0.21270
19 29 0.155700 0.19380
20 29 0.158400 0.17660
21 29 0.160700 0.16090
22 29 0.162700 0.14660
23 29 0.164300 0.13360
24 30 0.165700 0.12170
25 31 0.166800 0.11090
26 31 0.167800 0.10110
27 31 0.168700 0.09208
28 31 0.169300 0.08390
29 31 0.169900 0.07644
30 30 0.170400 0.06965
31 29 0.170800 0.06346
32 30 0.171100 0.05783
33 30 0.171400 0.05269
34 30 0.171700 0.04801
35 30 0.171800 0.04374
36 31 0.172000 0.03986
37 31 0.172100 0.03632
38 31 0.172300 0.03309
39 31 0.172400 0.03015
40 31 0.172400 0.02747
41 31 0.172500 0.02503
42 31 0.172500 0.02281
43 31 0.172600 0.02078
44 32 0.172600 0.01894
45 32 0.172600 0.01725
46 32 0.172700 0.01572
47 32 0.172700 0.01432
48 34 0.172700 0.01305
49 35 0.172800 0.01189
50 36 0.172800 0.01084
51 36 0.172900 0.00987
52 38 0.172900 0.00900
53 38 0.173000 0.00820
54 38 0.173000 0.00747
55 39 0.173000 0.00680
56 38 0.173100 0.00620
57 38 0.173100 0.00565
58 38 0.173100 0.00515
59 41 0.173100 0.00469
60 42 0.173100 0.00427
61 43 0.173200 0.00389
62 43 0.173200 0.00355
63 43 0.173200 0.00323
64 43 0.173200 0.00295
65 43 0.173200 0.00268
66 44 0.173200 0.00245
67 45 0.173200 0.00223
68 46 0.173300 0.00203
69 49 0.173300 0.00185
70 49 0.173300 0.00169
71 49 0.173300 0.00154
72 49 0.173300 0.00140
73 49 0.173300 0.00128
74 51 0.173300 0.00116
75 52 0.173300 0.00106
76 53 0.173300 0.00096
77 53 0.173300 0.00088
78 54 0.173300 0.00080
79 55 0.173300 0.00073
80 55 0.173300 0.00066
81 56 0.173300 0.00061
