
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = FALSE) 

   Df     %Dev  Lambda
1   0 0.000000 12.1000
2   2 0.007295 11.0300
3   2 0.013390 10.0500
4   2 0.018480  9.1540
5   2 0.022730  8.3410
6   2 0.026270  7.6000
7   2 0.029230  6.9240
8   2 0.031680  6.3090
9   2 0.033730  5.7490
10  2 0.035440  5.2380
11  3 0.036970  4.7730
12  3 0.039140  4.3490
13  3 0.040940  3.9620
14  4 0.042630  3.6100
15  3 0.043930  3.2900
16  4 0.044980  2.9970
17  4 0.046000  2.7310
18  5 0.047080  2.4890
19  5 0.048140  2.2670
20  5 0.049040  2.0660
21  6 0.050150  1.8820
22  7 0.051160  1.7150
23  7 0.052020  1.5630
24 10 0.053090  1.4240
25  9 0.054650  1.2980
26 10 0.056130  1.1820
27 11 0.057680  1.0770
28 11 0.058990  0.9815
29 11 0.060070  0.8943
30 11 0.060980  0.8149
31 12 0.061740  0.7425
32 12 0.062410  0.6765
33 13 0.062960  0.6164
34 13 0.063510  0.5617
35 14 0.064130  0.5118
36 14 0.064610  0.4663
37 16 0.065690  0.4249
38 18 0.070650  0.3871
39 19 0.079290  0.3527
40 23 0.087910  0.3214
41 25 0.096150  0.2929
42 28 0.103600  0.2668
43 29 0.110400  0.2431
44 26 0.116700  0.2215
45 28 0.122000  0.2019
46 29 0.126700  0.1839
47 29 0.130800  0.1676
48 30 0.134300  0.1527
49 30 0.137400  0.1391
50 31 0.140200  0.1268
51 32 0.142600  0.1155
52 34 0.144700  0.1052
53 35 0.146400  0.0959
54 34 0.148000  0.0874
55 34 0.149300  0.0796
56 34 0.150400  0.0725
57 34 0.151300  0.0661
58 34 0.152100  0.0602
59 35 0.152800  0.0549
60 35 0.153400  0.0500
61 37 0.153900  0.0456
62 38 0.154300  0.0415
63 40 0.154600  0.0378
64 41 0.154900  0.0345
65 43 0.155200  0.0314
66 46 0.155400  0.0286
67 46 0.155600  0.0261
68 48 0.155800  0.0238
69 48 0.155900  0.0216
70 48 0.156000  0.0197
71 49 0.156100  0.0180
72 49 0.156200  0.0164
73 50 0.156300  0.0149
74 52 0.156400  0.0136
75 52 0.156400  0.0124
76 54 0.156500  0.0113
77 54 0.156500  0.0103
78 56 0.156500  0.0094
79 59 0.156600  0.0085
80 59 0.156600  0.0078
81 60 0.156600  0.0071
82 61 0.156600  0.0065
83 61 0.156600  0.0059
84 61 0.156700  0.0054
85 62 0.156700  0.0049
86 66 0.156700  0.0045
87 67 0.156700  0.0041
88 68 0.156700  0.0037
89 69 0.156700  0.0034
90 70 0.156700  0.0031
91 71 0.156700  0.0028
92 72 0.156700  0.0025
93 73 0.156700  0.0023
94 73 0.156700  0.0021
95 73 0.156700  0.0019
96 74 0.156700  0.0018
97 78 0.156700  0.0016
98 79 0.156700  0.0015
99 80 0.156700  0.0013
