
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

   Df     %Dev Lambda
1   0 0.000000 3.1930
2   1 0.005582 2.9090
3   1 0.010220 2.6510
4   3 0.015080 2.4150
5   3 0.024750 2.2010
6   3 0.032780 2.0050
7   4 0.039980 1.8270
8   4 0.045990 1.6650
9   4 0.050970 1.5170
10  4 0.055110 1.3820
11  4 0.058560 1.2590
12  4 0.061410 1.1470
13  4 0.063790 1.0450
14  4 0.065760 0.9526
15  4 0.067390 0.8680
16  5 0.068970 0.7908
17  5 0.070320 0.7206
18  5 0.071430 0.6566
19  5 0.072360 0.5982
20  5 0.073130 0.5451
21  5 0.073770 0.4967
22  5 0.074300 0.4526
23  6 0.075270 0.4123
24  6 0.076560 0.3757
25  6 0.077650 0.3423
26  6 0.078560 0.3119
27  6 0.079310 0.2842
28  6 0.079940 0.2590
29  7 0.080460 0.2360
30  7 0.081060 0.2150
31  7 0.081580 0.1959
32  8 0.084960 0.1785
33  8 0.091520 0.1626
34  8 0.097040 0.1482
35  8 0.101700 0.1350
36  8 0.105600 0.1230
37  8 0.108800 0.1121
38  7 0.111500 0.1021
39  7 0.113800 0.0931
40  7 0.115600 0.0848
41  7 0.117200 0.0773
42  7 0.118500 0.0704
43  8 0.119600 0.0642
44  8 0.120500 0.0584
45  8 0.121300 0.0533
46  8 0.121900 0.0485
47  8 0.122400 0.0442
48  8 0.122900 0.0403
49  8 0.123300 0.0367
50  9 0.123600 0.0334
51  9 0.123900 0.0305
52  9 0.124200 0.0278
53 10 0.124400 0.0253
54 10 0.124600 0.0230
55 10 0.124800 0.0210
56 10 0.125000 0.0191
57 10 0.125100 0.0174
58 11 0.125200 0.0159
59 11 0.125300 0.0145
60 11 0.125300 0.0132
61 11 0.125400 0.0120
62 12 0.125400 0.0110
63 13 0.125500 0.0100
64 13 0.125500 0.0091
65 13 0.125600 0.0083
66 13 0.125600 0.0075
67 13 0.125600 0.0069
68 13 0.125600 0.0063
69 13 0.125600 0.0057
70 13 0.125700 0.0052
71 13 0.125700 0.0047
72 12 0.125700 0.0043
73 13 0.125700 0.0039
74 13 0.125700 0.0036
75 12 0.125700 0.0033
76 13 0.125700 0.0030
77 13 0.125700 0.0027
78 13 0.125700 0.0025
79 13 0.125700 0.0023
80 13 0.125700 0.0021
81 13 0.125700 0.0019
82 14 0.125700 0.0017
83 14 0.125700 0.0016
84 14 0.125700 0.0014
85 14 0.125700 0.0013
