
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 22.7000
2    1 0.001303 20.6800
3    1 0.002386 18.8400
4    2 0.003288 17.1700
5    2 0.004321 15.6400
6    2 0.005181 14.2500
7    2 0.005896 12.9900
8    2 0.006491 11.8300
9    2 0.006984 10.7800
10   2 0.007394  9.8250
11   2 0.007733  8.9520
12   3 0.008232  8.1570
13   3 0.009173  7.4320
14   4 0.010550  6.7720
15   4 0.011720  6.1700
16   5 0.012780  5.6220
17   5 0.013790  5.1230
18   5 0.014620  4.6680
19   6 0.015410  4.2530
20   6 0.016420  3.8750
21   7 0.017500  3.5310
22   7 0.018560  3.2170
23   8 0.019500  2.9310
24   8 0.020450  2.6710
25   8 0.021240  2.4340
26   8 0.021900  2.2180
27   9 0.022700  2.0210
28   9 0.023410  1.8410
29   9 0.023990  1.6770
30  11 0.024630  1.5280
31  11 0.025320  1.3930
32  12 0.025870  1.2690
33  12 0.026430  1.1560
34  12 0.026900  1.0540
35  12 0.027260  0.9599
36  12 0.027570  0.8746
37  10 0.027780  0.7969
38  10 0.027950  0.7261
39  11 0.031260  0.6616
40  11 0.034940  0.6029
41  12 0.038420  0.5493
42  13 0.041730  0.5005
43  18 0.048850  0.4560
44  20 0.057000  0.4155
45  21 0.064640  0.3786
46  23 0.073240  0.3450
47  25 0.081710  0.3143
48  25 0.089650  0.2864
49  26 0.096900  0.2610
50  27 0.104200  0.2378
51  27 0.111400  0.2167
52  27 0.118000  0.1974
53  27 0.123800  0.1799
54  28 0.129100  0.1639
55  29 0.134500  0.1493
56  29 0.139700  0.1361
57  31 0.144400  0.1240
58  32 0.149600  0.1130
59  33 0.154400  0.1029
60  35 0.159500  0.0938
61  36 0.164600  0.0854
62  41 0.169200  0.0779
63  42 0.173600  0.0710
64  44 0.178300  0.0646
65  45 0.183000  0.0589
66  48 0.187500  0.0537
67  48 0.192000  0.0489
68  50 0.196300  0.0446
69  50 0.200200  0.0406
70  54 0.203800  0.0370
71  56 0.207200  0.0337
72  57 0.210300  0.0307
73  56 0.213200  0.0280
74  57 0.215800  0.0255
75  58 0.218200  0.0232
76  58 0.220400  0.0212
77  59 0.222400  0.0193
78  59 0.224200  0.0176
79  59 0.225800  0.0160
80  60 0.227300  0.0146
81  60 0.228600  0.0133
82  60 0.229800  0.0121
83  60 0.230800  0.0110
84  60 0.231700  0.0101
85  61 0.232500  0.0092
86  61 0.233300  0.0083
87  61 0.233900  0.0076
88  66 0.234400  0.0069
89  67 0.234900  0.0063
90  68 0.235400  0.0058
91  69 0.235800  0.0052
92  68 0.236100  0.0048
93  70 0.236400  0.0044
94  69 0.236600  0.0040
95  70 0.236900  0.0036
96  71 0.237100  0.0033
97  71 0.237300  0.0030
98  73 0.237400  0.0027
99  73 0.237500  0.0025
100 78 0.237700  0.0023
