
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 881.80
2    1 0.01102 803.50
3    1 0.02058 732.10
4    1 0.02885 667.10
5    1 0.03598 607.80
6    1 0.04212 553.80
7    1 0.04738 504.60
8    1 0.05188 459.80
9    1 0.05572 418.90
10   1 0.05898 381.70
11   1 0.06176 347.80
12   1 0.06412 316.90
13   1 0.06611 288.80
14   1 0.06779 263.10
15   1 0.06922 239.70
16   1 0.07041 218.40
17   1 0.07142 199.00
18   1 0.07227 181.30
19   1 0.07298 165.20
20   1 0.07358 150.60
21   1 0.07408 137.20
22   1 0.07450 125.00
23   1 0.07485 113.90
24   1 0.07514 103.80
25   1 0.07539  94.55
26   1 0.07560  86.15
27   1 0.07577  78.50
28   1 0.07591  71.53
29   1 0.07603  65.17
30   1 0.07613  59.38
31   1 0.07621  54.11
32   1 0.07628  49.30
33   1 0.07634  44.92
34   1 0.07638  40.93
35   1 0.07642  37.29
36   1 0.07646  33.98
37   1 0.07648  30.96
38   1 0.07651  28.21
39   1 0.07653  25.71
40   1 0.07654  23.42
41   2 0.07671  21.34
42   2 0.07694  19.45
43   2 0.07714  17.72
44   2 0.07733  16.14
45   2 0.07749  14.71
46   3 0.07767  13.40
47   4 0.07798  12.21
48   4 0.07834  11.13
49   4 0.07868  10.14
50   4 0.07899   9.24
51   4 0.07928   8.42
52   6 0.07973   7.67
53   7 0.08018   6.99
54   7 0.08070   6.37
55   8 0.08120   5.80
56   9 0.08188   5.29
57   9 0.08253   4.82
58   8 0.08304   4.39
59   8 0.08321   4.00
60  10 0.08341   3.64
61  12 0.08369   3.32
62  14 0.08427   3.02
63  14 0.08495   2.76
64  13 0.08579   2.51
65  13 0.08643   2.29
66  13 0.08698   2.08
67  13 0.08748   1.90
68  13 0.08793   1.73
69  13 0.08824   1.58
70  13 0.08873   1.44
71  13 0.08895   1.31
72  13 0.08926   1.19
73  14 0.08959   1.09
74  14 0.09000   0.99
75  15 0.09029   0.90
76  15 0.09061   0.82
77  16 0.09099   0.75
78  16 0.09138   0.68
79  18 0.09175   0.62
80  18 0.09219   0.57
81  18 0.09259   0.52
82  19 0.09296   0.47
83  19 0.09330   0.43
84  20 0.09365   0.39
85  20 0.09399   0.36
86  22 0.09430   0.32
87  22 0.09459   0.30
88  22 0.09486   0.27
89  22 0.09511   0.25
90  22 0.09535   0.22
91  22 0.09557   0.20
92  22 0.09577   0.19
93  22 0.09595   0.17
94  22 0.09611   0.15
95  22 0.09627   0.14
96  22 0.09641   0.13
97  21 0.09653   0.12
98  22 0.09665   0.11
99  22 0.09676   0.10
100 24 0.09686   0.09
