
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.53070
2   2 0.009571 0.48360
3   2 0.021130 0.44060
4   2 0.030830 0.40150
5   4 0.042510 0.36580
6   5 0.055030 0.33330
7   6 0.066680 0.30370
8   8 0.077000 0.27670
9   8 0.085870 0.25210
10  9 0.093420 0.22970
11  9 0.100000 0.20930
12  9 0.105500 0.19070
13 10 0.110100 0.17380
14 12 0.114100 0.15830
15 13 0.117500 0.14430
16 13 0.120400 0.13150
17 14 0.122900 0.11980
18 15 0.125000 0.10910
19 14 0.126800 0.09944
20 15 0.128300 0.09061
21 15 0.129600 0.08256
22 15 0.130700 0.07523
23 17 0.131600 0.06854
24 17 0.132300 0.06245
25 17 0.133000 0.05691
26 18 0.133500 0.05185
27 18 0.134000 0.04724
28 18 0.134400 0.04305
29 18 0.134700 0.03922
30 18 0.135000 0.03574
31 17 0.135200 0.03256
32 17 0.135400 0.02967
33 17 0.135600 0.02703
34 17 0.135700 0.02463
35 21 0.136000 0.02244
36 21 0.136400 0.02045
37 21 0.136700 0.01863
38 20 0.137100 0.01698
39 23 0.137400 0.01547
40 26 0.137800 0.01410
41 26 0.138200 0.01284
42 24 0.138500 0.01170
43 26 0.138700 0.01066
44 26 0.138900 0.00972
45 26 0.139100 0.00885
46 26 0.139200 0.00807
47 26 0.139400 0.00735
48 26 0.139400 0.00670
49 26 0.139500 0.00610
50 26 0.139600 0.00556
51 25 0.139700 0.00507
52 25 0.139700 0.00462
53 25 0.139800 0.00421
54 26 0.139800 0.00383
55 28 0.139800 0.00349
56 29 0.139800 0.00318
57 29 0.139900 0.00290
58 29 0.139900 0.00264
59 29 0.139900 0.00241
60 29 0.139900 0.00219
61 29 0.139900 0.00200
62 29 0.139900 0.00182
63 29 0.139900 0.00166
64 29 0.139900 0.00151
65 29 0.140000 0.00138
66 30 0.140000 0.00126
67 31 0.140000 0.00114
68 31 0.140000 0.00104
69 31 0.140000 0.00095
70 32 0.140000 0.00086
71 33 0.140000 0.00079
72 33 0.140000 0.00072
73 33 0.140000 0.00065
74 33 0.140000 0.00060
75 34 0.140000 0.00054
