
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 2.30800
2    3 0.009893 2.10300
3    4 0.021680 1.91600
4    5 0.032790 1.74600
5    6 0.042670 1.59100
6    8 0.051570 1.45000
7    8 0.059370 1.32100
8    9 0.065960 1.20400
9    9 0.071530 1.09700
10  10 0.076290 0.99920
11  11 0.080320 0.91040
12  12 0.083730 0.82960
13  14 0.086660 0.75590
14  14 0.089090 0.68870
15  14 0.091130 0.62750
16  15 0.092850 0.57180
17  14 0.094290 0.52100
18  15 0.095510 0.47470
19  13 0.096520 0.43250
20  13 0.097370 0.39410
21  12 0.098080 0.35910
22  12 0.098670 0.32720
23  10 0.099170 0.29810
24  10 0.099590 0.27160
25  10 0.099940 0.24750
26  10 0.100200 0.22550
27  10 0.100500 0.20550
28  10 0.100700 0.18720
29  10 0.100900 0.17060
30  10 0.101000 0.15540
31  10 0.101100 0.14160
32  10 0.101300 0.12910
33  10 0.101300 0.11760
34  10 0.101400 0.10710
35  10 0.101500 0.09762
36   9 0.101500 0.08895
37   9 0.101600 0.08105
38   9 0.101600 0.07385
39   9 0.101600 0.06729
40   9 0.101700 0.06131
41   9 0.101700 0.05586
42   9 0.101700 0.05090
43   9 0.101700 0.04638
44   9 0.101700 0.04226
45   9 0.101700 0.03850
46   9 0.101700 0.03508
47   9 0.101700 0.03197
48   9 0.101700 0.02913
49   9 0.101800 0.02654
50   9 0.101800 0.02418
51   9 0.101800 0.02203
52  10 0.101800 0.02008
53  10 0.101800 0.01829
54  10 0.101900 0.01667
55  11 0.102000 0.01519
56  12 0.102200 0.01384
57  12 0.102300 0.01261
58  12 0.102400 0.01149
59  12 0.102500 0.01047
60  13 0.102600 0.00954
61  13 0.102700 0.00869
62  14 0.102800 0.00792
63  14 0.103000 0.00722
64  14 0.103100 0.00657
65  14 0.103200 0.00599
66  13 0.103300 0.00546
67  13 0.103400 0.00497
68  15 0.103500 0.00453
69  16 0.103600 0.00413
70  16 0.103600 0.00376
71  18 0.103700 0.00343
72  18 0.103800 0.00312
73  18 0.103900 0.00285
74  18 0.103900 0.00259
75  18 0.104000 0.00236
76  18 0.104000 0.00215
77  18 0.104100 0.00196
78  18 0.104100 0.00179
79  19 0.104100 0.00163
80  20 0.104200 0.00148
81  20 0.104200 0.00135
82  20 0.104200 0.00123
83  20 0.104200 0.00112
84  20 0.104200 0.00102
85  20 0.104300 0.00093
86  20 0.104300 0.00085
87  22 0.104300 0.00077
88  23 0.104300 0.00070
89  23 0.104300 0.00064
90  23 0.104300 0.00059
91  23 0.104300 0.00053
92  23 0.104300 0.00049
93  23 0.104300 0.00044
94  23 0.104300 0.00040
95  24 0.104300 0.00037
96  24 0.104300 0.00033
97  25 0.104300 0.00031
98  25 0.104300 0.00028
99  25 0.104300 0.00025
100 25 0.104300 0.00023
