
Call:  glmnet(x = x, y = y, alpha = 0.3, family = "gaussian", standardize = FALSE) 

    Df    %Dev Lambda
1    0 0.00000 48.000
2    1 0.01084 43.740
3    1 0.01990 39.850
4    1 0.02746 36.310
5    1 0.03377 33.090
6    1 0.03904 30.150
7    1 0.04342 27.470
8    1 0.04708 25.030
9    1 0.05013 22.800
10   1 0.05267 20.780
11   1 0.05478 18.930
12   1 0.05654 17.250
13   1 0.05800 15.720
14   1 0.05922 14.320
15   1 0.06024 13.050
16   1 0.06108 11.890
17   1 0.06178 10.830
18   1 0.06236  9.871
19   2 0.06341  8.995
20   2 0.06743  8.195
21   2 0.07082  7.467
22   2 0.07369  6.804
23   2 0.07610  6.200
24   2 0.07813  5.649
25   3 0.07984  5.147
26   3 0.08130  4.690
27   3 0.08259  4.273
28   3 0.08368  3.894
29   3 0.08461  3.548
30   3 0.08539  3.232
31   3 0.08605  2.945
32   3 0.08660  2.684
33   3 0.08708  2.445
34   3 0.08747  2.228
35   3 0.08819  2.030
36   3 0.08890  1.850
37   3 0.08950  1.685
38   3 0.09000  1.536
39   3 0.09043  1.399
40   4 0.09079  1.275
41   4 0.09109  1.162
42   4 0.09134  1.058
43   4 0.09156  0.964
44   4 0.09173  0.879
45   4 0.09189  0.801
46   5 0.09259  0.730
47   5 0.09324  0.665
48   6 0.09398  0.606
49   6 0.09457  0.552
50   6 0.09512  0.503
51   6 0.09551  0.458
52   6 0.09593  0.418
53   6 0.09620  0.380
54   6 0.09651  0.347
55   6 0.09670  0.316
56   6 0.09689  0.288
57   5 0.09709  0.262
58   5 0.09718  0.239
59   5 0.09730  0.218
60   6 0.09748  0.198
61   6 0.09771  0.181
62   6 0.09789  0.165
63   8 0.09806  0.150
64   8 0.09834  0.137
65   8 0.09860  0.125
66   8 0.09881  0.114
67   8 0.09899  0.103
68   8 0.09914  0.094
69   9 0.09932  0.086
70   9 0.09956  0.078
71   9 0.09974  0.071
72   9 0.09992  0.065
73   9 0.10000  0.059
74   9 0.10020  0.054
75   9 0.10020  0.049
76  10 0.10040  0.045
77  10 0.10060  0.041
78  10 0.10080  0.037
79  10 0.10090  0.034
80  10 0.10120  0.031
81  11 0.10140  0.028
82  11 0.10170  0.026
83  13 0.10200  0.023
84  13 0.10230  0.021
85  13 0.10250  0.019
86  13 0.10270  0.018
87  13 0.10280  0.016
88  13 0.10300  0.015
89  13 0.10310  0.013
90  13 0.10320  0.012
91  13 0.10330  0.011
92  13 0.10340  0.010
93  13 0.10350  0.009
94  13 0.10350  0.008
95  13 0.10360  0.008
96  13 0.10360  0.007
97  13 0.10370  0.006
98  14 0.10370  0.006
99  15 0.10370  0.005
100 15 0.10380  0.005
