
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.69250
2    1 0.01502 0.63100
3    1 0.02749 0.57490
4    2 0.03824 0.52380
5    2 0.04760 0.47730
6    3 0.05591 0.43490
7    4 0.06346 0.39630
8    4 0.06968 0.36110
9    4 0.07488 0.32900
10   5 0.07937 0.29980
11   5 0.08311 0.27310
12   5 0.08621 0.24890
13   5 0.08878 0.22680
14   5 0.09092 0.20660
15   5 0.09269 0.18830
16   5 0.09416 0.17150
17   5 0.09539 0.15630
18   5 0.09640 0.14240
19   6 0.09727 0.12980
20   6 0.09804 0.11820
21   6 0.09867 0.10770
22   6 0.09920 0.09816
23   6 0.09963 0.08944
24   6 0.09999 0.08149
25   6 0.10030 0.07425
26   6 0.10050 0.06766
27   6 0.10070 0.06165
28   6 0.10090 0.05617
29   6 0.10110 0.05118
30   6 0.10120 0.04663
31   6 0.10130 0.04249
32   6 0.10140 0.03872
33   6 0.10140 0.03528
34   6 0.10150 0.03214
35   6 0.10150 0.02929
36   6 0.10160 0.02669
37   7 0.10160 0.02431
38   7 0.10160 0.02215
39   7 0.10170 0.02019
40   7 0.10170 0.01839
41   7 0.10170 0.01676
42   7 0.10170 0.01527
43   7 0.10170 0.01391
44   7 0.10170 0.01268
45   8 0.10170 0.01155
46   8 0.10170 0.01053
47   8 0.10170 0.00959
48   8 0.10180 0.00874
49   8 0.10180 0.00796
50   8 0.10180 0.00726
51   8 0.10180 0.00661
52   8 0.10180 0.00602
53   9 0.10180 0.00549
54   9 0.10190 0.00500
55  11 0.10210 0.00456
56  10 0.10230 0.00415
57  10 0.10240 0.00378
58  11 0.10240 0.00345
59  12 0.10250 0.00314
60  12 0.10260 0.00286
61  14 0.10280 0.00261
62  14 0.10310 0.00238
63  13 0.10320 0.00216
64  13 0.10330 0.00197
65  12 0.10340 0.00180
66  13 0.10350 0.00164
67  14 0.10360 0.00149
68  16 0.10360 0.00136
69  16 0.10370 0.00124
70  16 0.10380 0.00113
71  16 0.10390 0.00103
72  17 0.10400 0.00094
73  17 0.10400 0.00085
74  17 0.10410 0.00078
75  17 0.10410 0.00071
76  18 0.10410 0.00065
77  18 0.10410 0.00059
78  18 0.10420 0.00054
79  18 0.10420 0.00049
80  17 0.10420 0.00045
81  17 0.10420 0.00041
82  18 0.10420 0.00037
83  19 0.10430 0.00034
84  22 0.10430 0.00031
85  22 0.10430 0.00028
86  22 0.10430 0.00025
87  22 0.10430 0.00023
88  22 0.10430 0.00021
89  22 0.10430 0.00019
90  22 0.10430 0.00018
91  22 0.10430 0.00016
92  23 0.10430 0.00015
93  23 0.10430 0.00013
94  23 0.10430 0.00012
95  23 0.10430 0.00011
96  23 0.10430 0.00010
97  23 0.10430 0.00009
98  23 0.10430 0.00008
99  23 0.10430 0.00008
100 23 0.10430 0.00007
