
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 11.6200
2   1 0.002204 10.5900
3   1 0.004504  9.6500
4   1 0.006895  8.7930
5   2 0.010980  8.0120
6   2 0.015230  7.3000
7   2 0.019610  6.6510
8   8 0.026970  6.0610
9  11 0.036800  5.5220
10 20 0.047170  5.0320
11 26 0.058980  4.5850
12 31 0.071350  4.1770
13 38 0.083320  3.8060
14 50 0.094890  3.4680
15 56 0.106000  3.1600
16 58 0.116400  2.8790
17 60 0.126300  2.6230
18 61 0.135500  2.3900
19 62 0.144100  2.1780
20 64 0.152100  1.9850
21 62 0.159500  1.8080
22 62 0.166200  1.6480
23 63 0.172500  1.5010
24 61 0.178100  1.3680
25 58 0.183300  1.2460
26 57 0.188000  1.1360
27 55 0.192200  1.0350
28 55 0.196000  0.9428
29 53 0.199400  0.8591
30 51 0.202400  0.7827
31 49 0.205100  0.7132
32 46 0.207400  0.6498
33 46 0.209500  0.5921
34 45 0.211300  0.5395
35 43 0.212900  0.4916
36 42 0.214300  0.4479
37 43 0.215500  0.4081
38 43 0.216800  0.3719
39 41 0.217900  0.3388
40 42 0.218800  0.3087
41 45 0.219700  0.2813
42 48 0.220600  0.2563
43 49 0.221400  0.2335
44 50 0.222200  0.2128
45 50 0.222800  0.1939
46 53 0.223500  0.1767
47 54 0.224000  0.1610
48 54 0.224500  0.1467
49 55 0.224900  0.1336
50 57 0.225300  0.1218
51 57 0.225600  0.1110
52 56 0.225900  0.1011
53 57 0.226200  0.0921
54 58 0.226400  0.0839
55 60 0.226600  0.0765
56 60 0.226800  0.0697
57 60 0.226900  0.0635
58 61 0.227100  0.0578
59 62 0.227200  0.0527
60 63 0.227300  0.0480
61 64 0.227300  0.0438
62 65 0.227400  0.0399
63 65 0.227500  0.0363
64 65 0.227500  0.0331
65 67 0.227600  0.0302
66 70 0.227600  0.0275
67 70 0.227600  0.0250
68 74 0.227700  0.0228
69 75 0.227700  0.0208
70 76 0.227700  0.0189
71 77 0.227700  0.0173
72 77 0.227700  0.0157
73 79 0.227700  0.0143
74 79 0.227800  0.0131
75 79 0.227800  0.0119
76 78 0.227800  0.0108
77 81 0.227800  0.0099
78 81 0.227800  0.0090
79 81 0.227800  0.0082
80 81 0.227800  0.0075
81 82 0.227800  0.0068
82 82 0.227800  0.0062
83 83 0.227800  0.0057
84 84 0.227800  0.0052
85 86 0.227800  0.0047
86 86 0.227800  0.0043
