
Call:  glmnet(x = x, y = y, alpha = 0, family = "gaussian", standardize = TRUE) 

    Df    %Dev Lambda
1   68 0.00000 498.00
2   68 0.01458 453.70
3   68 0.01567 413.40
4   68 0.01681 376.70
5   68 0.01801 343.20
6   68 0.01926 312.70
7   68 0.02056 285.00
8   68 0.02191 259.60
9   68 0.02331 236.60
10  68 0.02474 215.60
11  68 0.02621 196.40
12  68 0.02772 179.00
13  68 0.02925 163.10
14  68 0.03081 148.60
15  68 0.03240 135.40
16  68 0.03400 123.40
17  68 0.03560 112.40
18  68 0.03720 102.40
19  68 0.03881  93.31
20  68 0.04043  85.02
21  68 0.04204  77.47
22  68 0.04366  70.59
23  68 0.04528  64.32
24  68 0.04690  58.60
25  68 0.04853  53.40
26  68 0.05017  48.65
27  68 0.05183  44.33
28  68 0.05351  40.39
29  68 0.05521  36.80
30  68 0.05695  33.53
31  68 0.05872  30.56
32  68 0.06054  27.84
33  68 0.06242  25.37
34  68 0.06435  23.11
35  68 0.06635  21.06
36  68 0.06841  19.19
37  68 0.07055  17.48
38  68 0.07277  15.93
39  68 0.07507  14.52
40  68 0.07746  13.23
41  68 0.07993  12.05
42  68 0.08250  10.98
43  68 0.08515  10.01
44  68 0.08788   9.12
45  68 0.09070   8.31
46  68 0.09360   7.57
47  68 0.09657   6.90
48  68 0.09960   6.28
49  68 0.10270   5.72
50  68 0.10580   5.22
51  68 0.10900   4.75
52  68 0.11220   4.33
53  68 0.11540   3.95
54  68 0.11860   3.60
55  68 0.12180   3.28
56  68 0.12490   2.98
57  68 0.12800   2.72
58  68 0.13110   2.48
59  68 0.13400   2.26
60  68 0.13680   2.06
61  68 0.13960   1.88
62  68 0.14220   1.71
63  68 0.14470   1.56
64  68 0.14700   1.42
65  68 0.14930   1.29
66  68 0.15130   1.18
67  68 0.15320   1.07
68  68 0.15500   0.98
69  68 0.15660   0.89
70  68 0.15810   0.81
71  68 0.15950   0.74
72  68 0.16070   0.67
73  68 0.16180   0.61
74  68 0.16280   0.56
75  68 0.16370   0.51
76  68 0.16450   0.46
77  68 0.16520   0.42
78  68 0.16580   0.39
79  68 0.16630   0.35
80  68 0.16680   0.32
81  68 0.16720   0.29
82  68 0.16760   0.27
83  68 0.16790   0.24
84  68 0.16820   0.22
85  68 0.16840   0.20
86  68 0.16860   0.18
87  68 0.16880   0.17
88  68 0.16890   0.15
89  68 0.16900   0.14
90  68 0.16910   0.13
91  68 0.16920   0.12
92  68 0.16930   0.10
93  68 0.16940   0.10
94  68 0.16940   0.09
95  68 0.16950   0.08
96  68 0.16950   0.07
97  68 0.16950   0.07
98  68 0.16960   0.06
99  68 0.16960   0.05
100 68 0.16960   0.05
