
Call:  glmnet(x = x, y = y, alpha = 0.5, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 19.5500
2    1 0.00511 17.8100
3    1 0.00936 16.2300
4    1 0.01289 14.7900
5    1 0.01583 13.4700
6    1 0.01827 12.2800
7    1 0.02030 11.1900
8    1 0.02199 10.1900
9    1 0.02339  9.2860
10   1 0.02455  8.4610
11   1 0.02552  7.7100
12   1 0.02632  7.0250
13   1 0.02699  6.4010
14   1 0.02755  5.8320
15   1 0.02801  5.3140
16   1 0.02839  4.8420
17   1 0.02871  4.4120
18   2 0.03049  4.0200
19   2 0.03297  3.6630
20   2 0.03503  3.3370
21   2 0.03675  3.0410
22   2 0.03818  2.7710
23   2 0.03938  2.5250
24   2 0.04037  2.3000
25   3 0.04158  2.0960
26   3 0.04374  1.9100
27   3 0.04554  1.7400
28   3 0.04704  1.5860
29   3 0.04829  1.4450
30   3 0.04933  1.3160
31   3 0.05020  1.1990
32   3 0.05092  1.0930
33   3 0.05152  0.9958
34   3 0.05202  0.9073
35   4 0.05336  0.8267
36   4 0.05497  0.7533
37   4 0.05632  0.6863
38   4 0.05744  0.6254
39   4 0.05838  0.5698
40   4 0.05917  0.5192
41   4 0.05982  0.4731
42   4 0.06037  0.4310
43   5 0.06321  0.3927
44   5 0.07026  0.3579
45   6 0.07735  0.3261
46   6 0.08773  0.2971
47   6 0.09709  0.2707
48   6 0.10550  0.2467
49   6 0.11300  0.2247
50   6 0.11970  0.2048
51   6 0.12560  0.1866
52   6 0.13080  0.1700
53   6 0.13540  0.1549
54   6 0.13940  0.1411
55   7 0.14290  0.1286
56   7 0.14600  0.1172
57   7 0.14870  0.1068
58   7 0.15090  0.0973
59   7 0.15290  0.0886
60   9 0.15480  0.0808
61  10 0.15640  0.0736
62  10 0.15810  0.0671
63  10 0.15950  0.0611
64  10 0.16070  0.0557
65  10 0.16170  0.0507
66  10 0.16250  0.0462
67  10 0.16320  0.0421
68  11 0.16390  0.0384
69  12 0.16440  0.0350
70  12 0.16490  0.0319
71  13 0.16550  0.0290
72  13 0.16610  0.0264
73  14 0.16660  0.0241
74  14 0.16710  0.0220
75  15 0.16750  0.0200
76  16 0.16780  0.0182
77  16 0.16810  0.0166
78  16 0.16840  0.0151
79  16 0.16860  0.0138
80  16 0.16880  0.0126
81  16 0.16890  0.0114
82  16 0.16900  0.0104
83  16 0.16920  0.0095
84  16 0.16920  0.0087
85  16 0.16930  0.0079
86  16 0.16940  0.0072
87  17 0.16940  0.0066
88  17 0.16950  0.0060
89  17 0.16950  0.0054
90  18 0.16950  0.0050
91  19 0.16960  0.0045
92  20 0.16960  0.0041
93  20 0.16960  0.0037
94  20 0.16960  0.0034
95  21 0.16960  0.0031
96  21 0.16970  0.0028
97  21 0.16970  0.0026
98  21 0.16970  0.0024
99  22 0.16970  0.0021
100 22 0.16970  0.0020
