
Call:  glmnet(x = x, y = y, alpha = 0.15, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 15.7800
2     1 0.00217 14.3700
3     1 0.00401 13.1000
4     2 0.00589 11.9300
5     3 0.00959 10.8700
6     6 0.01366  9.9070
7     8 0.01943  9.0270
8     8 0.02529  8.2250
9     8 0.03021  7.4950
10    9 0.03443  6.8290
11   11 0.03866  6.2220
12   12 0.04281  5.6690
13   12 0.04671  5.1660
14   14 0.05020  4.7070
15   14 0.05314  4.2890
16   14 0.05560  3.9080
17   15 0.05797  3.5610
18   15 0.06009  3.2440
19   17 0.06224  2.9560
20   19 0.06471  2.6930
21   19 0.06681  2.4540
22   19 0.06857  2.2360
23   19 0.07004  2.0370
24   20 0.07131  1.8560
25   21 0.07279  1.6920
26   21 0.07405  1.5410
27   22 0.07534  1.4040
28   22 0.07645  1.2800
29   23 0.07738  1.1660
30   25 0.08027  1.0620
31   26 0.08329  0.9680
32   27 0.08707  0.8820
33   30 0.09141  0.8036
34   33 0.09586  0.7322
35   35 0.10090  0.6672
36   37 0.10700  0.6079
37   40 0.11340  0.5539
38   42 0.12050  0.5047
39   43 0.12790  0.4599
40   46 0.13590  0.4190
41   49 0.14450  0.3818
42   52 0.15340  0.3479
43   54 0.16240  0.3170
44   56 0.17130  0.2888
45   59 0.18000  0.2632
46   62 0.18850  0.2398
47   65 0.19690  0.2185
48   68 0.20510  0.1991
49   73 0.21330  0.1814
50   73 0.22140  0.1653
51   79 0.22930  0.1506
52   83 0.23770  0.1372
53   90 0.24630  0.1250
54   97 0.25530  0.1139
55  100 0.26480  0.1038
56  104 0.27390  0.0946
57  109 0.28310  0.0862
58  112 0.29260  0.0785
59  116 0.30160  0.0715
60  117 0.31040  0.0652
61  121 0.31890  0.0594
62  127 0.32730  0.0541
63  129 0.33590  0.0493
64  133 0.34440  0.0449
65  134 0.35250  0.0409
66  141 0.36070  0.0373
67  143 0.36890  0.0340
68  143 0.37690  0.0310
69  144 0.38450  0.0282
70  147 0.39180  0.0257
71  148 0.39900  0.0234
72  148 0.40570  0.0213
73  149 0.41220  0.0194
74  153 0.41830  0.0177
75  157 0.42430  0.0162
76  160 0.43010  0.0147
77  162 0.43560  0.0134
78  163 0.44100  0.0122
79  166 0.44610  0.0111
80  165 0.45090  0.0101
81  165 0.45540  0.0092
82  166 0.45970  0.0084
83  170 0.46380  0.0077
84  173 0.46790  0.0070
85  176 0.47170  0.0064
86  179 0.47540  0.0058
87  178 0.47880  0.0053
88  180 0.48200  0.0048
89  180 0.48490  0.0044
90  181 0.48760  0.0040
91  182 0.49010  0.0036
92  183 0.49240  0.0033
93  183 0.49460  0.0030
94  183 0.49650  0.0028
95  185 0.49830  0.0025
96  185 0.50000  0.0023
97  185 0.50150  0.0021
98  185 0.50290  0.0019
99  187 0.50410  0.0017
100 188 0.50520  0.0016
