
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 171.700
2    1 0.000697 156.400
3    1 0.001348 142.500
4    1 0.001952 129.800
5    1 0.002508 118.300
6    1 0.003018 107.800
7    1 0.003483  98.220
8    1 0.003904  89.500
9    2 0.004366  81.550
10   2 0.005200  74.300
11   3 0.006046  67.700
12   4 0.007311  61.690
13   4 0.008654  56.210
14   4 0.009941  51.210
15   5 0.011230  46.660
16   6 0.012580  42.520
17   7 0.013990  38.740
18   7 0.015330  35.300
19   7 0.016560  32.160
20   7 0.017690  29.310
21   7 0.018730  26.700
22   7 0.019670  24.330
23   7 0.020520  22.170
24   7 0.021290  20.200
25   7 0.021980  18.410
26   7 0.022600  16.770
27   7 0.023150  15.280
28   7 0.023650  13.920
29   8 0.024150  12.690
30  11 0.024840  11.560
31  11 0.025660  10.530
32  14 0.026580   9.597
33  15 0.027580   8.744
34  15 0.028660   7.967
35  15 0.029780   7.260
36  16 0.030930   6.615
37  18 0.032230   6.027
38  20 0.033660   5.492
39  20 0.035180   5.004
40  21 0.036810   4.559
41  21 0.038560   4.154
42  27 0.040510   3.785
43  28 0.042690   3.449
44  29 0.045020   3.142
45  30 0.047480   2.863
46  31 0.050110   2.609
47  31 0.052870   2.377
48  35 0.055830   2.166
49  35 0.058950   1.974
50  35 0.062220   1.798
51  38 0.065670   1.638
52  42 0.069320   1.493
53  43 0.073160   1.360
54  45 0.077170   1.239
55  45 0.081350   1.129
56  47 0.085670   1.029
57  49 0.090170   0.938
58  49 0.094810   0.854
59  50 0.099580   0.778
60  50 0.104500   0.709
61  50 0.109500   0.646
62  53 0.114700   0.589
63  55 0.119900   0.536
64  55 0.125300   0.489
65  55 0.130800   0.445
66  55 0.136300   0.406
67  55 0.141800   0.370
68  56 0.147500   0.337
69  56 0.153100   0.307
70  56 0.158700   0.280
71  56 0.164300   0.255
72  58 0.170000   0.232
73  58 0.175600   0.212
74  58 0.181100   0.193
75  58 0.186700   0.176
76  58 0.192100   0.160
77  58 0.197400   0.146
78  58 0.202700   0.133
79  58 0.207800   0.121
80  58 0.212900   0.110
81  58 0.217800   0.100
82  58 0.222500   0.092
83  58 0.227100   0.083
84  58 0.231500   0.076
85  59 0.235800   0.069
86  58 0.239900   0.063
87  58 0.243900   0.058
88  58 0.247600   0.052
89  58 0.251200   0.048
90  58 0.254600   0.044
91  58 0.257800   0.040
92  57 0.260800   0.036
93  58 0.263600   0.033
94  58 0.266300   0.030
95  58 0.268800   0.027
96  58 0.271100   0.025
97  58 0.273200   0.023
98  58 0.275200   0.021
99  59 0.277100   0.019
100 59 0.278700   0.017
