
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

   Df     %Dev Lambda
1   0 0.000000 6.5050
2   1 0.001231 5.9270
3   2 0.002862 5.4010
4   3 0.005594 4.9210
5   5 0.009836 4.4840
6   8 0.015120 4.0860
7  10 0.020730 3.7230
8  15 0.027420 3.3920
9  19 0.035280 3.0910
10 23 0.044180 2.8160
11 31 0.055300 2.5660
12 35 0.067090 2.3380
13 37 0.079230 2.1300
14 40 0.091030 1.9410
15 42 0.103000 1.7690
16 44 0.115100 1.6110
17 46 0.126900 1.4680
18 51 0.138800 1.3380
19 51 0.150100 1.2190
20 53 0.160800 1.1110
21 55 0.171200 1.0120
22 57 0.181200 0.9221
23 59 0.190900 0.8402
24 61 0.200100 0.7656
25 61 0.208800 0.6976
26 61 0.216900 0.6356
27 61 0.224300 0.5791
28 62 0.231200 0.5277
29 62 0.237700 0.4808
30 62 0.243700 0.4381
31 62 0.249100 0.3992
32 62 0.254100 0.3637
33 62 0.258600 0.3314
34 62 0.262700 0.3020
35 62 0.266300 0.2751
36 62 0.269600 0.2507
37 62 0.272500 0.2284
38 62 0.275100 0.2081
39 62 0.277500 0.1896
40 62 0.279500 0.1728
41 61 0.281300 0.1574
42 61 0.282900 0.1435
43 61 0.284200 0.1307
44 61 0.285400 0.1191
45 61 0.286500 0.1085
46 61 0.287400 0.0989
47 61 0.288200 0.0901
48 61 0.288800 0.0821
49 60 0.289400 0.0748
50 60 0.289900 0.0682
51 60 0.290300 0.0621
52 59 0.290700 0.0566
53 60 0.291000 0.0516
54 60 0.291300 0.0470
55 60 0.291500 0.0428
56 60 0.291700 0.0390
57 60 0.291900 0.0355
58 60 0.292000 0.0324
59 60 0.292100 0.0295
60 60 0.292200 0.0269
61 60 0.292300 0.0245
62 60 0.292400 0.0223
63 61 0.292400 0.0203
64 61 0.292500 0.0185
65 61 0.292500 0.0169
66 61 0.292500 0.0154
67 61 0.292600 0.0140
68 61 0.292600 0.0128
69 61 0.292600 0.0116
70 62 0.292600 0.0106
71 62 0.292600 0.0097
72 62 0.292700 0.0088
73 62 0.292700 0.0080
74 62 0.292700 0.0073
75 62 0.292700 0.0067
76 62 0.292700 0.0061
77 62 0.292700 0.0055
78 62 0.292700 0.0050
79 61 0.292700 0.0046
80 61 0.292700 0.0042
81 61 0.292700 0.0038
82 61 0.292700 0.0035
83 61 0.292700 0.0032
