
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.72280
2   1 0.003890 0.65860
3   2 0.008395 0.60010
4   3 0.015680 0.54680
5   4 0.023430 0.49820
6   6 0.030940 0.45400
7   6 0.038790 0.41360
8  11 0.047770 0.37690
9  16 0.064460 0.34340
10 21 0.082710 0.31290
11 23 0.101200 0.28510
12 26 0.118600 0.25980
13 35 0.135300 0.23670
14 37 0.151300 0.21570
15 39 0.167500 0.19650
16 43 0.182100 0.17900
17 43 0.195100 0.16310
18 50 0.206600 0.14860
19 53 0.216800 0.13540
20 55 0.226300 0.12340
21 59 0.235400 0.11240
22 61 0.243700 0.10250
23 62 0.251200 0.09336
24 62 0.257900 0.08506
25 62 0.263500 0.07751
26 62 0.268200 0.07062
27 61 0.272200 0.06435
28 60 0.275500 0.05863
29 60 0.278300 0.05342
30 60 0.280700 0.04868
31 60 0.282600 0.04435
32 60 0.284300 0.04041
33 59 0.285700 0.03682
34 59 0.286800 0.03355
35 59 0.287800 0.03057
36 59 0.288600 0.02785
37 59 0.289300 0.02538
38 59 0.289800 0.02313
39 59 0.290300 0.02107
40 59 0.290700 0.01920
41 59 0.291000 0.01749
42 59 0.291300 0.01594
43 59 0.291500 0.01452
44 59 0.291700 0.01323
45 59 0.291900 0.01206
46 59 0.292000 0.01099
47 59 0.292100 0.01001
48 59 0.292200 0.00912
49 59 0.292300 0.00831
50 60 0.292400 0.00757
51 60 0.292400 0.00690
52 60 0.292500 0.00629
53 59 0.292500 0.00573
54 59 0.292600 0.00522
55 59 0.292600 0.00476
56 59 0.292600 0.00433
57 59 0.292600 0.00395
58 59 0.292600 0.00360
59 59 0.292600 0.00328
60 59 0.292700 0.00299
61 60 0.292700 0.00272
62 60 0.292700 0.00248
63 60 0.292700 0.00226
64 60 0.292700 0.00206
65 60 0.292700 0.00188
66 61 0.292700 0.00171
67 61 0.292700 0.00156
68 61 0.292700 0.00142
69 61 0.292700 0.00129
70 61 0.292700 0.00118
71 61 0.292700 0.00107
72 61 0.292700 0.00098
73 61 0.292700 0.00089
74 61 0.292700 0.00081
75 61 0.292700 0.00074
76 61 0.292700 0.00067
