
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 2.14600
2    1 0.001176 1.95500
3    1 0.002154 1.78100
4    1 0.002965 1.62300
5    1 0.003639 1.47900
6    1 0.004199 1.34800
7    1 0.004664 1.22800
8    1 0.005050 1.11900
9    1 0.005371 1.01900
10   2 0.007075 0.92880
11   2 0.008677 0.84630
12   3 0.010090 0.77110
13   4 0.012590 0.70260
14   4 0.014830 0.64020
15   4 0.016700 0.58330
16   5 0.018400 0.53150
17   5 0.019920 0.48430
18   5 0.021190 0.44130
19   5 0.022230 0.40210
20   5 0.023110 0.36630
21   5 0.023830 0.33380
22   5 0.024430 0.30410
23   5 0.024930 0.27710
24   5 0.025350 0.25250
25   5 0.025690 0.23010
26   5 0.025980 0.20960
27   5 0.026220 0.19100
28   5 0.026410 0.17400
29   7 0.028620 0.15860
30   8 0.035860 0.14450
31   9 0.042490 0.13170
32  10 0.048760 0.12000
33  11 0.054500 0.10930
34  12 0.060510 0.09959
35  14 0.070950 0.09074
36  15 0.081700 0.08268
37  15 0.091890 0.07534
38  16 0.100700 0.06864
39  17 0.110100 0.06255
40  19 0.121100 0.05699
41  19 0.131200 0.05193
42  20 0.140600 0.04731
43  21 0.149300 0.04311
44  24 0.158200 0.03928
45  25 0.167100 0.03579
46  28 0.175200 0.03261
47  29 0.183600 0.02971
48  32 0.192200 0.02707
49  35 0.201500 0.02467
50  38 0.210700 0.02248
51  40 0.220500 0.02048
52  40 0.229300 0.01866
53  41 0.237100 0.01700
54  42 0.243900 0.01549
55  43 0.250000 0.01412
56  45 0.255400 0.01286
57  46 0.260400 0.01172
58  46 0.264600 0.01068
59  48 0.268500 0.00973
60  48 0.271700 0.00887
61  48 0.274500 0.00808
62  48 0.276800 0.00736
63  52 0.278900 0.00671
64  52 0.281000 0.00611
65  54 0.282800 0.00557
66  54 0.284300 0.00507
67  54 0.285700 0.00462
68  55 0.286800 0.00421
69  55 0.287700 0.00384
70  55 0.288500 0.00350
71  54 0.289200 0.00319
72  54 0.289800 0.00290
73  54 0.290200 0.00264
74  54 0.290600 0.00241
75  54 0.290900 0.00220
76  54 0.291200 0.00200
77  55 0.291400 0.00182
78  56 0.291600 0.00166
79  55 0.291800 0.00151
80  56 0.291900 0.00138
81  57 0.292100 0.00126
82  57 0.292200 0.00114
83  57 0.292200 0.00104
84  57 0.292300 0.00095
85  58 0.292400 0.00087
86  58 0.292400 0.00079
87  58 0.292500 0.00072
88  58 0.292500 0.00066
89  58 0.292500 0.00060
90  58 0.292600 0.00054
91  58 0.292600 0.00050
92  59 0.292600 0.00045
93  59 0.292600 0.00041
94  59 0.292600 0.00038
95  59 0.292600 0.00034
96  59 0.292700 0.00031
97  59 0.292700 0.00028
98  58 0.292700 0.00026
99  59 0.292700 0.00024
100 59 0.292700 0.00021
