
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.34240
2   1 0.004534 0.31200
3   2 0.009612 0.28430
4   3 0.017780 0.25900
5   4 0.025990 0.23600
6   4 0.033730 0.21500
7   6 0.041320 0.19590
8  12 0.050630 0.17850
9  16 0.070020 0.16270
10 20 0.089690 0.14820
11 22 0.109300 0.13500
12 27 0.127000 0.12300
13 33 0.144100 0.11210
14 37 0.160800 0.10220
15 38 0.177200 0.09308
16 40 0.191100 0.08481
17 42 0.203400 0.07728
18 49 0.214400 0.07041
19 52 0.224000 0.06416
20 56 0.233200 0.05846
21 59 0.242000 0.05326
22 62 0.249900 0.04853
23 61 0.257200 0.04422
24 61 0.263200 0.04029
25 61 0.268200 0.03671
26 61 0.272400 0.03345
27 59 0.275800 0.03048
28 59 0.278700 0.02777
29 59 0.281100 0.02531
30 59 0.283000 0.02306
31 58 0.284700 0.02101
32 58 0.286000 0.01914
33 58 0.287200 0.01744
34 58 0.288100 0.01589
35 58 0.288900 0.01448
36 58 0.289500 0.01319
37 58 0.290000 0.01202
38 58 0.290500 0.01095
39 58 0.290900 0.00998
40 58 0.291200 0.00909
41 58 0.291400 0.00829
42 58 0.291600 0.00755
43 58 0.291800 0.00688
44 58 0.292000 0.00627
45 58 0.292100 0.00571
46 58 0.292200 0.00520
47 58 0.292300 0.00474
48 58 0.292300 0.00432
49 59 0.292400 0.00394
50 59 0.292400 0.00359
51 59 0.292500 0.00327
52 59 0.292500 0.00298
53 59 0.292600 0.00271
54 59 0.292600 0.00247
55 59 0.292600 0.00225
56 59 0.292600 0.00205
57 59 0.292600 0.00187
58 59 0.292700 0.00170
59 59 0.292700 0.00155
60 60 0.292700 0.00142
61 60 0.292700 0.00129
62 60 0.292700 0.00118
63 60 0.292700 0.00107
64 60 0.292700 0.00098
65 60 0.292700 0.00089
66 61 0.292700 0.00081
67 61 0.292700 0.00074
68 61 0.292700 0.00067
69 61 0.292700 0.00061
70 61 0.292700 0.00056
