
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

   Df     %Dev  Lambda
1   0 0.000000 0.32530
2   1 0.004568 0.29640
3   2 0.009675 0.27000
4   3 0.017890 0.24610
5   4 0.026120 0.22420
6   4 0.033870 0.20430
7   6 0.041440 0.18610
8  11 0.050820 0.16960
9  16 0.070320 0.15450
10 20 0.090040 0.14080
11 22 0.109700 0.12830
12 27 0.127400 0.11690
13 33 0.144500 0.10650
14 37 0.161300 0.09705
15 38 0.177700 0.08843
16 40 0.191500 0.08057
17 42 0.203800 0.07341
18 49 0.214700 0.06689
19 52 0.224300 0.06095
20 56 0.233500 0.05554
21 59 0.242300 0.05060
22 62 0.250300 0.04611
23 61 0.257500 0.04201
24 60 0.263500 0.03828
25 60 0.268500 0.03488
26 60 0.272600 0.03178
27 59 0.276000 0.02896
28 59 0.278800 0.02638
29 59 0.281200 0.02404
30 58 0.283100 0.02190
31 58 0.284700 0.01996
32 58 0.286100 0.01819
33 58 0.287200 0.01657
34 58 0.288100 0.01510
35 58 0.288900 0.01376
36 58 0.289500 0.01253
37 58 0.290100 0.01142
38 58 0.290500 0.01041
39 58 0.290900 0.00948
40 58 0.291200 0.00864
41 58 0.291400 0.00787
42 58 0.291700 0.00717
43 58 0.291800 0.00654
44 58 0.292000 0.00596
45 58 0.292100 0.00543
46 58 0.292200 0.00494
47 58 0.292300 0.00451
48 58 0.292300 0.00410
49 59 0.292400 0.00374
50 59 0.292500 0.00341
51 59 0.292500 0.00310
52 59 0.292500 0.00283
53 59 0.292600 0.00258
54 59 0.292600 0.00235
55 59 0.292600 0.00214
56 59 0.292600 0.00195
57 59 0.292600 0.00178
58 59 0.292700 0.00162
59 59 0.292700 0.00148
60 60 0.292700 0.00134
61 60 0.292700 0.00122
62 60 0.292700 0.00112
63 60 0.292700 0.00102
64 60 0.292700 0.00093
65 60 0.292700 0.00084
66 61 0.292700 0.00077
67 61 0.292700 0.00070
68 61 0.292700 0.00064
69 61 0.292700 0.00058
70 61 0.292700 0.00053
