
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 106.400
2    1 0.00368  96.970
3    1 0.00677  88.360
4    1 0.00936  80.510
5    1 0.01153  73.350
6    1 0.01334  66.840
7    1 0.01486  60.900
8    1 0.01613  55.490
9    2 0.01898  50.560
10   2 0.02283  46.070
11   2 0.02608  41.980
12   2 0.02883  38.250
13   2 0.03114  34.850
14   2 0.03310  31.750
15   2 0.03474  28.930
16   2 0.03612  26.360
17   3 0.03767  24.020
18   3 0.04107  21.890
19   3 0.04398  19.940
20   3 0.04646  18.170
21   3 0.04859  16.560
22   3 0.05041  15.090
23   3 0.05195  13.750
24   3 0.05326  12.520
25   4 0.05462  11.410
26   4 0.05594  10.400
27   4 0.05705   9.474
28   4 0.05798   8.632
29   4 0.05877   7.866
30   4 0.05943   7.167
31   4 0.05999   6.530
32   4 0.06046   5.950
33   5 0.06128   5.421
34   5 0.06214   4.940
35   5 0.06287   4.501
36   5 0.06349   4.101
37   5 0.06401   3.737
38   5 0.06445   3.405
39   5 0.06482   3.102
40   5 0.06513   2.827
41   6 0.06540   2.576
42   7 0.06605   2.347
43   7 0.06664   2.138
44   7 0.06715   1.948
45   9 0.06778   1.775
46  12 0.07158   1.618
47  12 0.07556   1.474
48  12 0.07947   1.343
49  13 0.08334   1.224
50  16 0.08812   1.115
51  17 0.09359   1.016
52  18 0.09925   0.926
53  18 0.10470   0.843
54  19 0.10990   0.768
55  19 0.11500   0.700
56  20 0.12010   0.638
57  23 0.12590   0.581
58  23 0.13240   0.530
59  25 0.13870   0.483
60  27 0.14550   0.440
61  28 0.15210   0.401
62  28 0.15840   0.365
63  31 0.16500   0.333
64  31 0.17150   0.303
65  32 0.17780   0.276
66  37 0.18460   0.252
67  38 0.19130   0.229
68  41 0.19780   0.209
69  46 0.20460   0.190
70  50 0.21140   0.173
71  53 0.21850   0.158
72  56 0.22590   0.144
73  57 0.23360   0.131
74  60 0.24110   0.120
75  60 0.24830   0.109
76  60 0.25530   0.099
77  60 0.26200   0.090
78  62 0.26850   0.082
79  64 0.27480   0.075
80  64 0.28090   0.068
81  66 0.28660   0.062
82  69 0.29230   0.057
83  70 0.29780   0.052
84  72 0.30310   0.047
85  73 0.30820   0.043
86  73 0.31300   0.039
87  73 0.31760   0.036
88  74 0.32190   0.032
89  76 0.32610   0.030
90  77 0.33000   0.027
91  77 0.33370   0.025
92  77 0.33710   0.022
93  76 0.34030   0.020
94  75 0.34320   0.019
95  77 0.34590   0.017
96  77 0.34840   0.015
97  77 0.35080   0.014
98  78 0.35290   0.013
99  78 0.35480   0.012
100 79 0.35660   0.011
